Repository Name,Repository Username,Stars Received,Repository URL
aspnetcore,dotnet,31400, https://github.com/dotnet/aspnetcore
Files,files-community,27200, https://github.com/files-community/Files
selenium,SeleniumHQ,26200, https://github.com/SeleniumHQ/selenium
jellyfin,jellyfin,21500, https://github.com/jellyfin/jellyfin
core,dotnet,18800, https://github.com/dotnet/core
maui,dotnet,18700, https://github.com/dotnet/maui
corefx,dotnet,17800, https://github.com/dotnet/corefx
Avalonia,AvaloniaUI,17500, https://github.com/AvaloniaUI/Avalonia
ILSpy,icsharpcode,17500, https://github.com/icsharpcode/ILSpy
Ryujinx,Ryujinx,17100, https://github.com/Ryujinx/Ryujinx
awesome-dotnet,quozd,16500, https://github.com/quozd/awesome-dotnet
pulumi,pulumi,15600, https://github.com/pulumi/pulumi
react-native-windows,microsoft,15300, https://github.com/microsoft/react-native-windows
AspNetCore-Developer-Roadmap,MoienTajik,15000, https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
SteamTools,BeyondDimension,13200, https://github.com/BeyondDimension/SteamTools
coreclr,dotnet,12800, https://github.com/dotnet/coreclr
OpenRA,OpenRA,12600, https://github.com/OpenRA/OpenRA
CleanArchitecture,ardalis,12400, https://github.com/ardalis/CleanArchitecture
server,bitwarden,12300, https://github.com/bitwarden/server
Polly,App-vNext,11800, https://github.com/App-vNext/Polly
