Repository Name,Repository Username,Stars Received,Repository URL
coding-interview-university,jwasham,254000, https://github.com/jwasham/coding-interview-university
javascript-algorithms,trekhleb,168000, https://github.com/trekhleb/javascript-algorithms
CS-Notes,CyC2018,163000, https://github.com/CyC2018/CS-Notes
Python,TheAlgorithms,157000, https://github.com/TheAlgorithms/Python
tech-interview-handbook,yangshun,88800, https://github.com/yangshun/tech-interview-handbook
interviews,kdn251,59500, https://github.com/kdn251/interviews
Java,TheAlgorithms,51100, https://github.com/TheAlgorithms/Java
leetcode,azl397985856,51000, https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,42600, https://github.com/algorithm-visualizer/algorithm-visualizer
leetcode-master,youngyangyang04,37500, https://github.com/youngyangyang04/leetcode-master
LeetCode-Go,halfrost,29500, https://github.com/halfrost/LeetCode-Go
interview,huihut,28500, https://github.com/huihut/interview
interactive-coding-challenges,donnemartin,27100, https://github.com/donnemartin/interactive-coding-challenges
JCSprout,crossoverJie,27000, https://github.com/crossoverJie/JCSprout
JavaScript,TheAlgorithms,26000, https://github.com/TheAlgorithms/JavaScript
C-Plus-Plus,TheAlgorithms,23900, https://github.com/TheAlgorithms/C-Plus-Plus
algorithms,keon,22400, https://github.com/keon/algorithms
homemade-machine-learning,trekhleb,21100, https://github.com/trekhleb/homemade-machine-learning
WaveFunctionCollapse,mxgmn,21100, https://github.com/mxgmn/WaveFunctionCollapse
PythonRobotics,AtsushiSakai,18000, https://github.com/AtsushiSakai/PythonRobotics
