Repository Name,Repository Username,Stars Received,Repository URL
amp,amphp,3900, https://github.com/amphp/amp
MadelineProto,danog,2300, https://github.com/danog/MadelineProto
http-server,amphp,1200, https://github.com/amphp/http-server
telegram-api,unreal4u,754, https://github.com/unreal4u/telegram-api
parallel,amphp,659, https://github.com/amphp/parallel
http-client,amphp,651, https://github.com/amphp/http-client
service-bus,php-service-bus,339, https://github.com/php-service-bus/service-bus
byte-stream,amphp,326, https://github.com/amphp/byte-stream
mysql,amphp,305, https://github.com/amphp/mysql
parallel-functions,amphp,241, https://github.com/amphp/parallel-functions
process,amphp,210, https://github.com/amphp/process
socket,amphp,188, https://github.com/amphp/socket
redis,amphp,136, https://github.com/amphp/redis
sync,amphp,133, https://github.com/amphp/sync
dns,amphp,130, https://github.com/amphp/dns
acme,kelunik,117, https://github.com/kelunik/acme
websocket-client,amphp,116, https://github.com/amphp/websocket-client
serialization,amphp,95, https://github.com/amphp/serialization
mailgrab,PeeHaa,92, https://github.com/PeeHaa/mailgrab
websocket-server,amphp,91, https://github.com/amphp/websocket-server
