Repository Name,Repository Username,Stars Received,Repository URL
flutter,flutter,152000, https://github.com/flutter/flutter
react-native,facebook,109000, https://github.com/facebook/react-native
free-programming-books-zh_CN,justjavac,102000, https://github.com/justjavac/free-programming-books-zh_CN
scrcpy,Genymobile,80700, https://github.com/Genymobile/scrcpy
Awesome-Hacking,Hack-with-Github,63500, https://github.com/Hack-with-Github/Awesome-Hacking
material-design-icons,google,47900, https://github.com/google/material-design-icons
awesome-flutter,Solido,46200, https://github.com/Solido/awesome-flutter
awesome-android-ui,wasabeef,46000, https://github.com/wasabeef/awesome-android-ui
okhttp,square,43800, https://github.com/square/okhttp
architecture-samples,android,42500, https://github.com/android/architecture-samples
retrofit,square,41400, https://github.com/square/retrofit
uni-app,dcloudio,37900, https://github.com/dcloudio/uni-app
fastlane,fastlane,36800, https://github.com/fastlane/fastlane
MPAndroidChart,PhilJay,36300, https://github.com/PhilJay/MPAndroidChart
joplin,laurent22,35300, https://github.com/laurent22/joplin
jadx,skylot,34000, https://github.com/skylot/jadx
lottie-android,airbnb,33800, https://github.com/airbnb/lottie-android
shadowsocks-android,shadowsocks,33600, https://github.com/shadowsocks/shadowsocks-android
glide,bumptech,33500, https://github.com/bumptech/glide
gold-miner,xitu,32200, https://github.com/xitu/gold-miner
