Repository Name,Repository Username,Stars Received,Repository URL
Tasmota,arendst,19500, https://github.com/arendst/Tasmota
Marlin,MarlinFirmware,14700, https://github.com/MarlinFirmware/Marlin
Arduino,arduino,13500, https://github.com/arduino/Arduino
johnny-five,rwaldron,13000, https://github.com/rwaldron/johnny-five
tinygo,tinygo-org,12600, https://github.com/tinygo-org/tinygo
esp8266_deauther,SpacehuhnTech,11500, https://github.com/SpacehuhnTech/esp8266_deauther
arduino-esp32,espressif,10500, https://github.com/espressif/arduino-esp32
lowlevelprogramming-university,gurugio,8300, https://github.com/gurugio/lowlevelprogramming-university
gobot,hybridgroup,8200, https://github.com/hybridgroup/gobot
platformio-core,platformio,6700, https://github.com/platformio/platformio-core
ArduinoJson,bblanchon,6100, https://github.com/bblanchon/ArduinoJson
WiFiManager,tzapu,5700, https://github.com/tzapu/WiFiManager
cylon,hybridgroup,4000, https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3900, https://github.com/Arduino-IRremote/Arduino-IRremote
arduino-cli,arduino,3800, https://github.com/arduino/arduino-cli
u8g2,olikraus,3800, https://github.com/olikraus/u8g2
blynk-library,blynkkk,3600, https://github.com/blynkkk/blynk-library
OpenMower,ClemensElflein,3400, https://github.com/ClemensElflein/OpenMower
nerd,NerdLang,3400, https://github.com/NerdLang/nerd
Serial-Studio,Serial-Studio,3200, https://github.com/Serial-Studio/Serial-Studio
