Repository Name,Repository Username,Stars Received,Repository URL
the-art-of-command-line,jlevy,135000, https://github.com/jlevy/the-art-of-command-line
nvm,nvm-sh,66100, https://github.com/nvm-sh/nvm
fzf,junegunn,51500, https://github.com/junegunn/fzf
zx,google,37000, https://github.com/google/zx
starship,starship,33600, https://github.com/starship/starship
pure-bash-bible,dylanaraps,33200, https://github.com/dylanaraps/pure-bash-bible
awesome-cheatsheets,LeCoupa,33100, https://github.com/LeCoupa/awesome-cheatsheets
shellcheck,koalaman,31800, https://github.com/koalaman/shellcheck
acme.sh,acmesh-official,31000, https://github.com/acmesh-official/acme.sh
dotfiles,mathiasbynens,28900, https://github.com/mathiasbynens/dotfiles
awesome-shell,alebcay,27100, https://github.com/alebcay/awesome-shell
linux-command,jaywcjlove,23500, https://github.com/jaywcjlove/linux-command
autocomplete,withfig,21800, https://github.com/withfig/autocomplete
neofetch,dylanaraps,17700, https://github.com/dylanaraps/neofetch
asdf,asdf-vm,17200, https://github.com/asdf-vm/asdf
openvpn-install,Nyr,16900, https://github.com/Nyr/openvpn-install
rbenv,rbenv,15000, https://github.com/rbenv/rbenv
terminalizer,faressoft,13900, https://github.com/faressoft/terminalizer
shelljs,shelljs,13800, https://github.com/shelljs/shelljs
powerline,powerline,13800, https://github.com/powerline/powerline
