Repository Name,Repository Username,Stars Received,Repository URL
ccxt,ccxt,27800, https://github.com/ccxt/ccxt
discord.js,discordjs,22200, https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,21600, https://github.com/python-telegram-bot/python-telegram-bot
hubot,hubotio,16400, https://github.com/hubotio/hubot
rasa,RasaHQ,15900, https://github.com/RasaHQ/rasa
wechaty,wechaty,15800, https://github.com/wechaty/wechaty
InstaPy,InstaPy,15200, https://github.com/InstaPy/InstaPy
ChatterBot,gunthercox,13100, https://github.com/gunthercox/ChatterBot
YYeTsBot,tgbot-collection,12700, https://github.com/tgbot-collection/YYeTsBot
discord.py,Rapptz,12600, https://github.com/Rapptz/discord.py
leon,leon-ai,12200, https://github.com/leon-ai/leon
botkit,howdyai,11100, https://github.com/howdyai/botkit
botpress,botpress,10200, https://github.com/botpress/botpress
whatsapp-web.js,pedroslopez,9700, https://github.com/pedroslopez/whatsapp-web.js
EverydayWechat,sfyc23,9400, https://github.com/sfyc23/EverydayWechat
go-cqhttp,Mrs4s,7900, https://github.com/Mrs4s/go-cqhttp
ailab,microsoft,7300, https://github.com/microsoft/ailab
botframework-sdk,microsoft,7000, https://github.com/microsoft/botframework-sdk
node-telegram-bot-api,yagop,7000, https://github.com/yagop/node-telegram-bot-api
EZFN-Lobbybot,EZFNDEV,6900, https://github.com/EZFNDEV/EZFN-Lobbybot
