Repository Name,Repository Username,Stars Received,Repository URL
Files,files-community,27200, https://github.com/files-community/Files
calculator,microsoft,27000, https://github.com/microsoft/calculator
ShareX,ShareX,23900, https://github.com/ShareX/ShareX
leetcode,doocs,21700, https://github.com/doocs/leetcode
jellyfin,jellyfin,21500, https://github.com/jellyfin/jellyfin
WaveFunctionCollapse,mxgmn,21100, https://github.com/mxgmn/WaveFunctionCollapse
corefx,dotnet,17800, https://github.com/dotnet/corefx
awesome-dotnet-core,thangchung,17800, https://github.com/thangchung/awesome-dotnet-core
Avalonia,AvaloniaUI,17500, https://github.com/AvaloniaUI/Avalonia
roslyn,dotnet,17300, https://github.com/dotnet/roslyn
Ryujinx,Ryujinx,17100, https://github.com/Ryujinx/Ryujinx
awesome-dotnet,quozd,16500, https://github.com/quozd/awesome-dotnet
pulumi,pulumi,15600, https://github.com/pulumi/pulumi
AspNetCore-Developer-Roadmap,MoienTajik,15000, https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
antlr4,antlr,14200, https://github.com/antlr/antlr4
DevToys,veler,14000, https://github.com/veler/DevToys
sst,serverless-stack,13400, https://github.com/serverless-stack/sst
SteamTools,BeyondDimension,13200, https://github.com/BeyondDimension/SteamTools
OpenRA,OpenRA,12600, https://github.com/OpenRA/OpenRA
CleanArchitecture,ardalis,12400, https://github.com/ardalis/CleanArchitecture
