Repository Name,Repository Username,Stars Received,Repository URL
COVID-19,CSSEGISandData,29300, https://github.com/CSSEGISandData/COVID-19
covid-19-data,nytimes,7000, https://github.com/nytimes/covid-19-data
covid19india-react,covid19india,6900, https://github.com/covid19india/covid19india-react
covid19,tokyo-metropolitan-gov,6300, https://github.com/tokyo-metropolitan-gov/covid19
covid-19-data,owid,5600, https://github.com/owid/covid-19-data
COVID-19,pcm-dpc,3900, https://github.com/pcm-dpc/COVID-19
covid-chestxray-dataset,ieee8023,2900, https://github.com/ieee8023/covid-chestxray-dataset
API,disease-sh,2400, https://github.com/disease-sh/API
corona,geohot,2400, https://github.com/geohot/corona
app,WorldHealthOrganization,2100, https://github.com/WorldHealthOrganization/app
cwa-server,corona-warn-app,1900, https://github.com/corona-warn-app/cwa-server
corona-cli,ahmadawais,1900, https://github.com/ahmadawais/corona-cli
covid19-dashboard,github,1600, https://github.com/github/covid19-dashboard
coronavirus-tracker-api,ExpDev07,1600, https://github.com/ExpDev07/coronavirus-tracker-api
awesome-coronavirus,soroushchehresa,1500, https://github.com/soroushchehresa/awesome-coronavirus
CoronaTracker,mhdhejazi,1500, https://github.com/mhdhejazi/CoronaTracker
Face-Mask-Detection,chandrikadeb7,1400, https://github.com/chandrikadeb7/Face-Mask-Detection
covid19_scenarios,neherlab,1400, https://github.com/neherlab/covid19_scenarios
tika-python,chrismattmann,1300, https://github.com/chrismattmann/tika-python
covid19,pomber,1200, https://github.com/pomber/covid19
