Repository Name,Repository Username,Stars Received,Repository URL
electron,electron,107000, https://github.com/electron/electron
puppeteer,puppeteer,82600, https://github.com/puppeteer/puppeteer
playwright,microsoft,49500, https://github.com/microsoft/playwright
mkcert,FiloSottile,40300, https://github.com/FiloSottile/mkcert
bypass-paywalls-chrome,iamadamdev,35000, https://github.com/iamadamdev/bypass-paywalls-chrome
linux-command,jaywcjlove,23500, https://github.com/jaywcjlove/linux-command
octotree,ovity,22400, https://github.com/ovity/octotree
nightmare,segmentio,19400, https://github.com/segmentio/nightmare
headless-recorder,checkly,14700, https://github.com/checkly/headless-recorder
WebFundamentals,google,13700, https://github.com/google/WebFundamentals
chromeless,prisma-archive,13200, https://github.com/prisma-archive/chromeless
chrome-extensions-samples,GoogleChrome,12000, https://github.com/GoogleChrome/chrome-extensions-samples
react-color,casesandberg,11300, https://github.com/casesandberg/react-color
SingleFile,gildas-lormeau,10700, https://github.com/gildas-lormeau/SingleFile
ext-saladict,crimx,10600, https://github.com/crimx/ext-saladict
metamask-extension,MetaMask,9600, https://github.com/MetaMask/metamask-extension
chromedp,chromedp,8900, https://github.com/chromedp/chromedp
uBlock,uBlock-LLC,8100, https://github.com/uBlock-LLC/uBlock
HackBrowserData,moonD4rk,7300, https://github.com/moonD4rk/HackBrowserData
simpread,Kenshin,7000, https://github.com/Kenshin/simpread
