Repository Name,Repository Username,Stars Received,Repository URL
localstack,localstack,46600, https://github.com/localstack/localstack
drone,harness,26700, https://github.com/harness/drone
jenkins,jenkinsci,20600, https://github.com/jenkinsci/jenkins
volkswagen,auchenberg,12700, https://github.com/auchenberg/volkswagen
onedev,theonedev,11000, https://github.com/theonedev/onedev
origin,openshift,8300, https://github.com/openshift/origin
dagger,dagger,8000, https://github.com/dagger/dagger
concourse,concourse,6800, https://github.com/concourse/concourse
gocd,gocd,6800, https://github.com/gocd/gocd
gaia,gaia-pipeline,5000, https://github.com/gaia-pipeline/gaia
buildbot,buildbot,5000, https://github.com/buildbot/buildbot
DevOps-Roadmap,milanm,4800, https://github.com/milanm/DevOps-Roadmap
strider,Strider-CD,4600, https://github.com/Strider-CD/strider
jx,jenkins-x,4400, https://github.com/jenkins-x/jx
cds,ovh,4200, https://github.com/ovh/cds
xcpretty,xcpretty,3800, https://github.com/xcpretty/xcpretty
hygieia,hygieia,3800, https://github.com/hygieia/hygieia
cml,iterative,3700, https://github.com/iterative/cml
github-pages-deploy-action,JamesIves,3600, https://github.com/JamesIves/github-pages-deploy-action
werf,werf,3600, https://github.com/werf/werf
