Repository Name,Repository Username,Stars Received,Repository URL
d3,d3,105000, https://github.com/d3/d3
grafana,grafana,54800, https://github.com/grafana/grafana
echarts,apache,54700, https://github.com/apache/echarts
superset,apache,51300, https://github.com/apache/superset
pixijs,pixijs,39500, https://github.com/pixijs/pixijs
metabase,metabase,32000, https://github.com/metabase/metabase
streamlit,streamlit,23800, https://github.com/streamlit/streamlit
awesome-datascience,academic,21100, https://github.com/academic/awesome-datascience
directus,directus,20900, https://github.com/directus/directus
Data-Science-For-Beginners,microsoft,18600, https://github.com/microsoft/Data-Science-For-Beginners
dash,plotly,18500, https://github.com/plotly/dash
matplotlib,matplotlib,17200, https://github.com/matplotlib/matplotlib
visx,airbnb,17000, https://github.com/airbnb/visx
plotly.js,plotly,15600, https://github.com/plotly/plotly.js
gradio,gradio-app,15400, https://github.com/gradio-app/gradio
best-of-ml-python,ml-tooling,13400, https://github.com/ml-tooling/best-of-ml-python
apexcharts.js,apexcharts,12400, https://github.com/apexcharts/apexcharts.js
awesome-bigdata,newTendermint,11900, https://github.com/newTendermint/awesome-bigdata
awesome-creative-coding,terkelg,10900, https://github.com/terkelg/awesome-creative-coding
deck.gl,visgl,10800, https://github.com/visgl/deck.gl
