Repository Name,Repository Username,Stars Received,Repository URL
tensorflow,tensorflow,173000, https://github.com/tensorflow/tensorflow
transformers,huggingface,91600, https://github.com/huggingface/transformers
opencv,opencv,67900, https://github.com/opencv/opencv
pytorch,pytorch,65000, https://github.com/pytorch/pytorch
stable-diffusion-webui,AUTOMATIC1111,61200, https://github.com/AUTOMATIC1111/stable-diffusion-webui
keras,keras-team,57800, https://github.com/keras-team/keras
cs-video-courses,Developer-Y,54400, https://github.com/Developer-Y/cs-video-courses
faceswap,deepfakes,44300, https://github.com/deepfakes/faceswap
TensorFlow-Examples,aymericdamien,42700, https://github.com/aymericdamien/TensorFlow-Examples
d2l-zh,d2l-ai,41800, https://github.com/d2l-ai/d2l-zh
Real-Time-Voice-Cloning,CorentinJ,40800, https://github.com/CorentinJ/Real-Time-Voice-Cloning
100-Days-Of-ML-Code,Avik-Jain,40600, https://github.com/Avik-Jain/100-Days-Of-ML-Code
DeepFaceLab,iperov,38500, https://github.com/iperov/DeepFaceLab
yolov5,ultralytics,37200, https://github.com/ultralytics/yolov5
Deep-Learning-Papers-Reading-Roadmap,floodsung,35000, https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
caffe,BVLC,33200, https://github.com/BVLC/caffe
Made-With-ML,GokuMohandas,32900, https://github.com/GokuMohandas/Made-With-ML
tesseract.js,naptha,30100, https://github.com/naptha/tesseract.js
GFPGAN,TencentARC,27900, https://github.com/TencentARC/GFPGAN
MockingBird,babysor,27900, https://github.com/babysor/MockingBird
