Repository Name,Repository Username,Stars Received,Repository URL
fastlane,fastlane,36800, https://github.com/fastlane/fastlane
ray,ray-project,25000, https://github.com/ray-project/ray
capistrano,capistrano,12400, https://github.com/capistrano/capistrano
caprover,caprover,10200, https://github.com/caprover/caprover
deployer,deployphp,9800, https://github.com/deployphp/deployer
up,apex,8700, https://github.com/apex/up
dagger,dagger,8000, https://github.com/dagger/dagger
AppImageKit,AppImage,7900, https://github.com/AppImage/AppImageKit
chef,chef,7200, https://github.com/chef/chef
node-config,node-config,5900, https://github.com/node-config/node-config
st2,StackStorm,5500, https://github.com/StackStorm/st2
shipit,shipitjs,5300, https://github.com/shipitjs/shipit
gaia,gaia-pipeline,5000, https://github.com/gaia-pipeline/gaia
rundeck,rundeck,4900, https://github.com/rundeck/rundeck
react-gh-pages,gitname,4900, https://github.com/gitname/react-gh-pages
linuxdeploy,meefik,4500, https://github.com/meefik/linuxdeploy
kubeapps,vmware-tanzu,4500, https://github.com/vmware-tanzu/kubeapps
mina,mina-deploy,4300, https://github.com/mina-deploy/mina
PaddleX,PaddlePaddle,4200, https://github.com/PaddlePaddle/PaddleX
gradle-play-publisher,Triple-T,3900, https://github.com/Triple-T/gradle-play-publisher
