Repository Name,Repository Username,Stars Received,Repository URL
django,django,69800, https://github.com/django/django
sentry,getsentry,33900, https://github.com/getsentry/sentry
awesome-cheatsheets,LeCoupa,33100, https://github.com/LeCoupa/awesome-cheatsheets
django-rest-framework,encode,25300, https://github.com/encode/django-rest-framework
iris,kataras,23800, https://github.com/kataras/iris
jumpserver,jumpserver,20200, https://github.com/jumpserver/jumpserver
saleor,saleor,18300, https://github.com/saleor/saleor
wagtail,wagtail,14500, https://github.com/wagtail/wagtail
awx,ansible,12100, https://github.com/ansible/awx
Zappa,Miserlou,11900, https://github.com/Miserlou/Zappa
cookiecutter-django,cookiecutter,10400, https://github.com/cookiecutter/cookiecutter-django
django-cms,django-cms,9200, https://github.com/django-cms/django-cms
awesome-django,wsvincent,6900, https://github.com/wsvincent/awesome-django
healthchecks,healthchecks,6100, https://github.com/healthchecks/healthchecks
django-oscar,django-oscar,5700, https://github.com/django-oscar/django-oscar
graphite-web,graphite-project,5600, https://github.com/graphite-project/graphite-web
cabot,arachnys,5400, https://github.com/arachnys/cabot
paperless-ng,jonaswinkler,5400, https://github.com/jonaswinkler/paperless-ng
librephotos,LibrePhotos,5400, https://github.com/LibrePhotos/librephotos
DjangoBlog,liangliangyy,5300, https://github.com/liangliangyy/DjangoBlog
