Repository Name,Repository Username,Stars Received,Repository URL
moby,moby,65700, https://github.com/moby/moby
mall,macrozheng,64599, https://github.com/macrozheng/mall
netdata,netdata,62500, https://github.com/netdata/netdata
traefik,traefik,42500, https://github.com/traefik/traefik
devops-exercises,bregman-arie,42100, https://github.com/bregman-arie/devops-exercises
mastodon,mastodon,41100, https://github.com/mastodon/mastodon
dive,wagoodman,36400, https://github.com/wagoodman/dive
kong,Kong,34500, https://github.com/Kong/kong
awesome-cheatsheets,LeCoupa,33100, https://github.com/LeCoupa/awesome-cheatsheets
uptime-kuma,louislam,31900, https://github.com/louislam/uptime-kuma
appwrite,appwrite,30500, https://github.com/appwrite/appwrite
Docker-OSX,sickcodes,29700, https://github.com/sickcodes/Docker-OSX
n8n,n8n-io,29300, https://github.com/n8n-io/n8n
compose,docker,29100, https://github.com/docker/compose
spring-boot-examples,ityouknow,28800, https://github.com/ityouknow/spring-boot-examples
drone,harness,26700, https://github.com/harness/drone
portainer,portainer,25100, https://github.com/portainer/portainer
awesome-docker,veggiemonk,25000, https://github.com/veggiemonk/awesome-docker
dokku,dokku,24500, https://github.com/dokku/dokku
vaultwarden,dani-garcia,24200, https://github.com/dani-garcia/vaultwarden
