Repository Name,Repository Username,Stars Received,Repository URL
spacemacs,syl20bnr,22900, https://github.com/syl20bnr/spacemacs
doomemacs,doomemacs,16400, https://github.com/doomemacs/doomemacs
nyxt,atlas-engineer,8400, https://github.com/atlas-engineer/nyxt
filestash,mickael-kerjean,7700, https://github.com/mickael-kerjean/filestash
awesome-emacs,emacs-tw,7700, https://github.com/emacs-tw/awesome-emacs
magit,magit,6000, https://github.com/magit/magit
prelude,bbatsov,5000, https://github.com/bbatsov/prelude
remacs,remacs,4600, https://github.com/remacs/remacs
lsp-mode,emacs-lsp,4400, https://github.com/emacs-lsp/lsp-mode
use-package,jwiegley,4200, https://github.com/jwiegley/use-package
projectile,bbatsov,3800, https://github.com/bbatsov/projectile
cider,clojure-emacs,3400, https://github.com/clojure-emacs/cider
helm,emacs-helm,3300, https://github.com/emacs-helm/helm
evil,emacs-evil,2900, https://github.com/emacs-evil/evil
emacs-application-framework,emacs-eaf,2600, https://github.com/emacs-eaf/emacs-application-framework
straight.el,radian-software,2400, https://github.com/radian-software/straight.el
know-your-http-well,for-GET,2300, https://github.com/for-GET/know-your-http-well
flycheck,flycheck,2300, https://github.com/flycheck/flycheck
organice,200ok-ch,2100, https://github.com/200ok-ch/organice
swiper,abo-abo,2100, https://github.com/abo-abo/swiper
