Repository Name,Repository Username,Stars Received,Repository URL
rich,Textualize,42800, https://github.com/Textualize/rich
marktext,marktext,39300, https://github.com/marktext/marktext
twemoji,twitter,15800, https://github.com/twitter/twemoji
gitmoji,carloscuesta,13800, https://github.com/carloscuesta/gitmoji
emoji-cheat-sheet,ikatyang,9900, https://github.com/ikatyang/emoji-cheat-sheet
subconverter,tindy2013,8700, https://github.com/tindy2013/subconverter
fluentui-emoji,microsoft,7500, https://github.com/microsoft/fluentui-emoji
emoji-mart,missive,7100, https://github.com/missive/emoji-mart
gemoji,github,4200, https://github.com/github/gemoji
gitmoji-cli,carloscuesta,4200, https://github.com/carloscuesta/gitmoji-cli
Coding-iOS,coding,3800, https://github.com/coding/Coding-iOS
PhotoEditor,burhanrashid52,3700, https://github.com/burhanrashid52/PhotoEditor
twitter-text,twitter,3000, https://github.com/twitter/twitter-text
free-gophers-pack,MariaLetta,2900, https://github.com/MariaLetta/free-gophers-pack
openmoji,hfg-gmuend,2600, https://github.com/hfg-gmuend/openmoji
padroes-de-commits,iuricode,2500, https://github.com/iuricode/padroes-de-commits
iconify,iconify,2500, https://github.com/iconify/iconify
EmojiPackage,getActivity,2400, https://github.com/getActivity/EmojiPackage
emoji,muan,2200, https://github.com/muan/emoji
mojibar,muan,2000, https://github.com/muan/mojibar
