Repository Name,Repository Username,Stars Received,Repository URL
yuzu,yuzu-emu,24600, https://github.com/yuzu-emu/yuzu
v86,copy,17500, https://github.com/copy/v86
Ryujinx,Ryujinx,17100, https://github.com/Ryujinx/Ryujinx
OpenEmu,OpenEmu,14800, https://github.com/OpenEmu/OpenEmu
ish,ish-app,13700, https://github.com/ish-app/ish
skyline,skyline-emu,12400, https://github.com/skyline-emu/skyline
ruffle,ruffle-rs,12200, https://github.com/ruffle-rs/ruffle
dolphin,dolphin-emu,9800, https://github.com/dolphin-emu/dolphin
citra,citra-emu,8400, https://github.com/citra-emu/citra
pcsx2,PCSX2,8300, https://github.com/PCSX2/pcsx2
Android-Debug-Database,amitshekhariitbhu,8200, https://github.com/amitshekhariitbhu/Android-Debug-Database
macintosh.js,felixrieseberg,8000, https://github.com/felixrieseberg/macintosh.js
xenia,xenia-project,6700, https://github.com/xenia-project/xenia
unicorn,unicorn-engine,6200, https://github.com/unicorn-engine/unicorn
jsnes,bfirsh,5700, https://github.com/bfirsh/jsnes
docker-android,budtmo,5600, https://github.com/budtmo/docker-android
Provenance,Provenance-Emu,5200, https://github.com/Provenance-Emu/Provenance
mininet,mininet,4800, https://github.com/mininet/mininet
duckstation,stenzek,4700, https://github.com/stenzek/duckstation
Cemu,cemu-project,4600, https://github.com/cemu-project/Cemu
