Repository Name,Repository Username,Stars Received,Repository URL
flask,pallets,62500, https://github.com/pallets/flask
superset,apache,51300, https://github.com/apache/superset
30-Days-Of-Python,Asabeneh,23400, https://github.com/Asabeneh/30-Days-Of-Python
dash,plotly,18500, https://github.com/plotly/dash
proxy_pool,jhao104,17500, https://github.com/jhao104/proxy_pool
SMSBoom,OpenEthan,12300, https://github.com/OpenEthan/SMSBoom
Zappa,Miserlou,11900, https://github.com/Miserlou/Zappa
awesome-flask,humiaozuzu,11300, https://github.com/humiaozuzu/awesome-flask
flasky,miguelgrinberg,8100, https://github.com/miguelgrinberg/flasky
trape,jofpin,7500, https://github.com/jofpin/trape
blockchain,dvf,7300, https://github.com/dvf/blockchain
whoogle-search,benbusby,7200, https://github.com/benbusby/whoogle-search
eve,pyeve,6600, https://github.com/pyeve/eve
grip,joeyespo,6000, https://github.com/joeyespo/grip
Flask-SocketIO,miguelgrinberg,5000, https://github.com/miguelgrinberg/Flask-SocketIO
CTFd,CTFd,4600, https://github.com/CTFd/CTFd
ProxyPool,Python3WebSpider,4500, https://github.com/Python3WebSpider/ProxyPool
cookiecutter-flask,cookiecutter-flask,4300, https://github.com/cookiecutter-flask/cookiecutter-flask
nginx-ui,schenkd,4300, https://github.com/schenkd/nginx-ui
microblog,miguelgrinberg,4200, https://github.com/miguelgrinberg/microblog
