Repository Name,Repository Username,Stars Received,Repository URL
godot,godotengine,60200, https://github.com/godotengine/godot
imgui,ocornut,46600, https://github.com/ocornut/imgui
bevy,bevyengine,23100, https://github.com/bevyengine/bevy
libgdx,libgdx,21300, https://github.com/libgdx/libgdx
games,leereilly,20800, https://github.com/leereilly/games
Babylon.js,BabylonJS,19800, https://github.com/BabylonJS/Babylon.js
cocos2d-x,cocos2d,17000, https://github.com/cocos2d/cocos2d-x
aframe,aframevr,15200, https://github.com/aframevr/aframe
OpenRA,OpenRA,12600, https://github.com/OpenRA/OpenRA
raylib,raysan5,12600, https://github.com/raysan5/raylib
pyxel,kitao,11700, https://github.com/kitao/pyxel
openage,SFTtech,11700, https://github.com/SFTtech/openage
magictools,ellisonleao,11300, https://github.com/ellisonleao/magictools
OpenDiablo2,OpenDiablo2,10400, https://github.com/OpenDiablo2/OpenDiablo2
boardgame.io,boardgameio,9500, https://github.com/boardgameio/boardgame.io
MonoGame,MonoGame,9400, https://github.com/MonoGame/MonoGame
minetest,minetest,8600, https://github.com/minetest/minetest
engine,playcanvas,8300, https://github.com/playcanvas/engine
ebiten,hajimehoshi,8100, https://github.com/hajimehoshi/ebiten
entt,skypjack,8000, https://github.com/skypjack/entt
