Repository Name,Repository Username,Stars Received,Repository URL
bert,google-research,33800, https://github.com/google-research/bert
GHunt,mxrch,13500, https://github.com/mxrch/GHunt
yapf,google,13200, https://github.com/google/yapf
functions-samples,firebase,11600, https://github.com/firebase/functions-samples
google-api-nodejs-client,googleapis,10500, https://github.com/googleapis/google-api-nodejs-client
dopamine,google,10100, https://github.com/google/dopamine
infracost,infracost,8900, https://github.com/infracost/infracost
flutterfire,firebase,7600, https://github.com/firebase/flutterfire
Share-SSR-V2ray,selierlin,7600, https://github.com/selierlin/Share-SSR-V2ray
TensorLayer,tensorlayer,7200, https://github.com/tensorlayer/TensorLayer
degoogle,tycrek,6700, https://github.com/tycrek/degoogle
google-map-react,google-map-react,6000, https://github.com/google-map-react/google-map-react
googler,jarun,5900, https://github.com/jarun/googler
GmsCore,microg,5500, https://github.com/microg/GmsCore
Alerter,Tapadoo,5400, https://github.com/Tapadoo/Alerter
closure-library,google,4700, https://github.com/google/closure-library
ipv6-hosts,lennylxx,4500, https://github.com/lennylxx/ipv6-hosts
gts,google,4300, https://github.com/google/gts
cloudquery,cloudquery,4300, https://github.com/cloudquery/cloudquery
fontsource,fontsource,3600, https://github.com/fontsource/fontsource
