Repository Name,Repository Username,Stars Received,Repository URL
gatsby,gatsbyjs,54300, https://github.com/gatsbyjs/gatsby
strapi,strapi,53000, https://github.com/strapi/strapi
hoppscotch,hoppscotch,50800, https://github.com/hoppscotch/hoppscotch
supabase,supabase,48000, https://github.com/supabase/supabase
prettier,prettier,45300, https://github.com/prettier/prettier
query,TanStack,34000, https://github.com/TanStack/query
graphql-engine,hasura,29500, https://github.com/hasura/graphql-engine
insomnia,Kong,27500, https://github.com/Kong/insomnia
react-admin,marmelab,21900, https://github.com/marmelab/react-admin
react-starter-kit,kriasoft,21800, https://github.com/kriasoft/react-starter-kit
directus,directus,20900, https://github.com/directus/directus
parse-server,parse-community,20200, https://github.com/parse-community/parse-server
graphql-js,graphql,19500, https://github.com/graphql/graphql-js
lenster,lensterxyz,19400, https://github.com/lensterxyz/lenster
dgraph,dgraph-io,19200, https://github.com/dgraph-io/dgraph
rxdb,pubkey,19100, https://github.com/pubkey/rxdb
apollo-client,apollographql,18600, https://github.com/apollographql/apollo-client
saleor,saleor,18300, https://github.com/saleor/saleor
prisma1,prisma,16700, https://github.com/prisma/prisma1
redwood,redwoodjs,15900, https://github.com/redwoodjs/redwood
