Repository Name,Repository Username,Stars Received,Repository URL
bootstrap,twbs,163000, https://github.com/twbs/bootstrap
electron,electron,107000, https://github.com/electron/electron
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
Web-Dev-For-Beginners,microsoft,68500, https://github.com/microsoft/Web-Dev-For-Beginners
Front-End-Checklist,thedaviddias,64700, https://github.com/thedaviddias/Front-End-Checklist
html5-boilerplate,h5bp,54200, https://github.com/h5bp/html5-boilerplate
rails,rails,52600, https://github.com/rails/rails
bulma,jgthms,47000, https://github.com/jgthms/bulma
prettier,prettier,45300, https://github.com/prettier/prettier
parcel,parcel-bundler,42200, https://github.com/parcel-bundler/parcel
hyper,vercel,40700, https://github.com/vercel/hyper
front-end-interview-handbook,yangshun,37100, https://github.com/yangshun/front-end-interview-handbook
video.js,videojs,35300, https://github.com/videojs/video.js
30-Days-Of-JavaScript,Asabeneh,34900, https://github.com/Asabeneh/30-Days-Of-JavaScript
tabler,tabler,33700, https://github.com/tabler/tabler
sheetjs,SheetJS,32600, https://github.com/SheetJS/sheetjs
HEAD,joshbuchea,29600, https://github.com/joshbuchea/HEAD
layui,layui,27000, https://github.com/layui/layui
cheerio,cheeriojs,26200, https://github.com/cheeriojs/cheerio
fe-interview,haizlin,23400, https://github.com/haizlin/fe-interview
