Repository Name,Repository Username,Stars Received,Repository URL
freeCodeCamp,freeCodeCamp,364000, https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,EbookFoundation,275000, https://github.com/EbookFoundation/free-programming-books
ohmyzsh,ohmyzsh,157000, https://github.com/ohmyzsh/ohmyzsh
Python,TheAlgorithms,157000, https://github.com/TheAlgorithms/Python
vscode,microsoft,145000, https://github.com/microsoft/vscode
axios,axios,99600, https://github.com/axios/axios
awesome-go,avelino,99500, https://github.com/avelino/awesome-go
transformers,huggingface,91600, https://github.com/huggingface/transformers
material-ui,mui,85700, https://github.com/mui/material-ui
java-design-patterns,iluwatar,80700, https://github.com/iluwatar/java-design-patterns
rust,rust-lang,80000, https://github.com/rust-lang/rust
app-ideas,florinpop17,64000, https://github.com/florinpop17/app-ideas
tauri,tauri-apps,62000, https://github.com/tauri-apps/tauri
Chart.js,chartjs,60300, https://github.com/chartjs/Chart.js
godot,godotengine,60200, https://github.com/godotengine/godot
core,home-assistant,59500, https://github.com/home-assistant/core
ansible,ansible,57000, https://github.com/ansible/ansible
mermaid,mermaid-js,56300, https://github.com/mermaid-js/mermaid
nest,nestjs,55800, https://github.com/nestjs/nest
33-js-concepts,leonardomso,55700, https://github.com/leonardomso/33-js-concepts
