Repository Name,Repository Username,Stars Received,Repository URL
homebridge,homebridge,21800, https://github.com/homebridge/homebridge
docker-homebridge,oznu,2400, https://github.com/oznu/docker-homebridge
homebridge-config-ui-x,oznu,2300, https://github.com/oznu/homebridge-config-ui-x
homebridge-mi-aqara,YinHangCode,1100, https://github.com/YinHangCode/homebridge-mi-aqara
homebridge-unifi-protect,hjdhjd,1000, https://github.com/hjdhjd/homebridge-unifi-protect
homebridge-camera-ffmpeg,Sunoo,1000, https://github.com/Sunoo/homebridge-camera-ffmpeg
homebridge-raspbian-image,homebridge,943, https://github.com/homebridge/homebridge-raspbian-image
ring,dgreif,935, https://github.com/dgreif/ring
homebridge-webos-tv,merdok,588, https://github.com/merdok/homebridge-webos-tv
homebridge-samsung-tizen,tavicu,580, https://github.com/tavicu/homebridge-samsung-tizen
Homepoint,sieren,566, https://github.com/sieren/Homepoint
homebridge-broadlink-rm,lprhodes,563, https://github.com/lprhodes/homebridge-broadlink-rm
homebridge-syno-spk,oznu,530, https://github.com/oznu/homebridge-syno-spk
HOOBS,hoobs-org,521, https://github.com/hoobs-org/HOOBS
homebridge-camera-ui,seydx,496, https://github.com/seydx/homebridge-camera-ui
homebridge-myq,hjdhjd,422, https://github.com/hjdhjd/homebridge-myq
homebridge-tplink-smarthome,plasticrake,414, https://github.com/plasticrake/homebridge-tplink-smarthome
dscKeybusInterface,taligentx,409, https://github.com/taligentx/dscKeybusInterface
homebridge-smartthings,tonesto7,377, https://github.com/tonesto7/homebridge-smartthings
homebridge-gsh,oznu,358, https://github.com/oznu/homebridge-gsh
