Repository Name,Repository Username,Stars Received,Repository URL
ipfs,ipfs,22000, https://github.com/ipfs/ipfs
lenster,lensterxyz,19400, https://github.com/lensterxyz/lenster
kubo,ipfs,15000, https://github.com/ipfs/kubo
full-blockchain-solidity-course-js,smartcontractkit,8300, https://github.com/smartcontractkit/full-blockchain-solidity-course-js
orbit-db,orbitdb,7600, https://github.com/orbitdb/orbit-db
js-ipfs,ipfs,7400, https://github.com/ipfs/js-ipfs
berty,berty,6700, https://github.com/berty/berty
ipfs-desktop,ipfs,5100, https://github.com/ipfs/ipfs-desktop
book-searcher,book-searcher-org,5100, https://github.com/book-searcher-org/book-searcher
Piped,TeamPiped,4200, https://github.com/TeamPiped/Piped
awesome-ipfs,ipfs,4000, https://github.com/ipfs/awesome-ipfs
embark,embarklabs,3700, https://github.com/embarklabs/embark
lenstube,lenstube-xyz,3700, https://github.com/lenstube-xyz/lenstube
awesome-blockchain,yjjnls,2800, https://github.com/yjjnls/awesome-blockchain
fq-book,hoochanlon,2700, https://github.com/hoochanlon/fq-book
lotus,filecoin-project,2600, https://github.com/filecoin-project/lotus
graph-node,graphprotocol,2500, https://github.com/graphprotocol/graph-node
js-libp2p,libp2p,2000, https://github.com/libp2p/js-libp2p
ipfs-companion,ipfs,1900, https://github.com/ipfs/ipfs-companion
Peergos,Peergos,1600, https://github.com/Peergos/Peergos
