Repository Name,Repository Username,Stars Received,Repository URL
CS-Notes,CyC2018,163000, https://github.com/CyC2018/CS-Notes
JavaGuide,Snailclimb,133000, https://github.com/Snailclimb/JavaGuide
java-design-patterns,iluwatar,80700, https://github.com/iluwatar/java-design-patterns
advanced-java,doocs,69500, https://github.com/doocs/advanced-java
spring-boot,spring-projects,66500, https://github.com/spring-projects/spring-boot
mall,macrozheng,64599, https://github.com/macrozheng/mall
elasticsearch,elastic,63300, https://github.com/elastic/elasticsearch
interviews,kdn251,59500, https://github.com/kdn251/interviews
Java,TheAlgorithms,51100, https://github.com/TheAlgorithms/Java
leetcode,azl397985856,51000, https://github.com/azl397985856/leetcode
guava,google,47200, https://github.com/google/guava
RxJava,ReactiveX,46900, https://github.com/ReactiveX/RxJava
okhttp,square,43800, https://github.com/square/okhttp
retrofit,square,41400, https://github.com/square/retrofit
dubbo,apache,38700, https://github.com/apache/dubbo
leetcode-master,youngyangyang04,37500, https://github.com/youngyangyang04/leetcode-master
MPAndroidChart,PhilJay,36300, https://github.com/PhilJay/MPAndroidChart
spark,apache,35400, https://github.com/apache/spark
jeecg-boot,jeecgboot,34200, https://github.com/jeecgboot/jeecg-boot
jadx,skylot,34000, https://github.com/skylot/jadx
