Repository Name,Repository Username,Stars Received,Repository URL
freeCodeCamp,freeCodeCamp,364000, https://github.com/freeCodeCamp/freeCodeCamp
react,facebook,206000, https://github.com/facebook/react
vue,vuejs,203000, https://github.com/vuejs/vue
javascript-algorithms,trekhleb,168000, https://github.com/trekhleb/javascript-algorithms
You-Dont-Know-JS,getify,167000, https://github.com/getify/You-Dont-Know-JS
bootstrap,twbs,163000, https://github.com/twbs/bootstrap
javascript,airbnb,133000, https://github.com/airbnb/javascript
30-seconds-of-code,30-seconds,110000, https://github.com/30-seconds/30-seconds-of-code
electron,electron,107000, https://github.com/electron/electron
free-programming-books-zh_CN,justjavac,102000, https://github.com/justjavac/free-programming-books-zh_CN
axios,axios,99600, https://github.com/axios/axios
project-based-learning,practical-tutorials,96900, https://github.com/practical-tutorials/project-based-learning
node,nodejs,94500, https://github.com/nodejs/node
three.js,mrdoob,90600, https://github.com/mrdoob/three.js
TypeScript,microsoft,90200, https://github.com/microsoft/TypeScript
deno,denoland,88900, https://github.com/denoland/deno
nodebestpractices,goldbergyoni,88500, https://github.com/goldbergyoni/nodebestpractices
angular,angular,87400, https://github.com/angular/angular
material-ui,mui,85700, https://github.com/mui/material-ui
clean-code-javascript,ryanmcdermott,81300, https://github.com/ryanmcdermott/clean-code-javascript
