Repository Name,Repository Username,Stars Received,Repository URL
PythonDataScienceHandbook,jakevdp,38000, https://github.com/jakevdp/PythonDataScienceHandbook
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,25500, https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
handson-ml,ageron,25000, https://github.com/ageron/handson-ml
homemade-machine-learning,trekhleb,21100, https://github.com/trekhleb/homemade-machine-learning
100-Days-Of-ML-Code,MLEveryday,19700, https://github.com/MLEveryday/100-Days-Of-ML-Code
recommenders,microsoft,15400, https://github.com/microsoft/recommenders
Screenshot-to-code,emilwallner,14000, https://github.com/emilwallner/Screenshot-to-code
plotly.py,plotly,13200, https://github.com/plotly/plotly.py
pytorch-book,chenyuntc,10900, https://github.com/chenyuntc/pytorch-book
ydata-profiling,ydataai,10400, https://github.com/ydataai/ydata-profiling
notebook,jupyter,9900, https://github.com/jupyter/notebook
jupyter-themes,dunovank,9500, https://github.com/dunovank/jupyter-themes
prettymaps,marceloprates,9400, https://github.com/marceloprates/prettymaps
The-Complete-FAANG-Preparation,AkashSingh3031,8900, https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
computervision-recipes,microsoft,8900, https://github.com/microsoft/computervision-recipes
amazon-sagemaker-examples,aws,8200, https://github.com/aws/amazon-sagemaker-examples
docker-stacks,jupyter,7200, https://github.com/jupyter/docker-stacks
jupyterhub,jupyterhub,7100, https://github.com/jupyterhub/jupyterhub
industry-machine-learning,firmai,6800, https://github.com/firmai/industry-machine-learning
pytorch-Deep-Learning,Atcold,6300, https://github.com/Atcold/pytorch-Deep-Learning
