Repository Name,Repository Username,Stars Received,Repository URL
free-programming-books-zh_CN,justjavac,102000, https://github.com/justjavac/free-programming-books-zh_CN
kotlin,JetBrains,44300, https://github.com/JetBrains/kotlin
okhttp,square,43800, https://github.com/square/okhttp
leakcanary,square,28400, https://github.com/square/leakcanary
NativeScript,NativeScript,22400, https://github.com/NativeScript/NativeScript
tachiyomi,tachiyomiorg,21900, https://github.com/tachiyomiorg/tachiyomi
iosched,google,21700, https://github.com/google/iosched
profile-summary-for-github,tipsy,19700, https://github.com/tipsy/profile-summary-for-github
material-dialogs,afollestad,19500, https://github.com/afollestad/material-dialogs
anko,Kotlin,15900, https://github.com/Kotlin/anko
MMKV,Tencent,15700, https://github.com/Tencent/MMKV
mirai,mamoe,12300, https://github.com/mamoe/mirai
kotlinx.coroutines,Kotlin,11800, https://github.com/Kotlin/kotlinx.coroutines
recyclerview-animators,wasabeef,11200, https://github.com/wasabeef/recyclerview-animators
PermissionsDispatcher,permissions-dispatcher,11100, https://github.com/permissions-dispatcher/PermissionsDispatcher
ktor,ktorio,11000, https://github.com/ktorio/ktor
nowinandroid,android,10700, https://github.com/android/nowinandroid
ImmersionBar,gyf-dev,10700, https://github.com/gyf-dev/ImmersionBar
compose-multiplatform,JetBrains,10700, https://github.com/JetBrains/compose-multiplatform
awesome-kotlin,KotlinBy,10400, https://github.com/KotlinBy/awesome-kotlin
