Repository Name,Repository Username,Stars Received,Repository URL
kubernetes,kubernetes,97300, https://github.com/kubernetes/kubernetes
netdata,netdata,62500, https://github.com/netdata/netdata
etcd,etcd-io,43100, https://github.com/etcd-io/etcd
traefik,traefik,42500, https://github.com/traefik/traefik
devops-exercises,bregman-arie,42100, https://github.com/bregman-arie/devops-exercises
minio,minio,38400, https://github.com/minio/minio
kong,Kong,34500, https://github.com/Kong/kong
awesome-cheatsheets,LeCoupa,33100, https://github.com/LeCoupa/awesome-cheatsheets
istio,istio,32700, https://github.com/istio/istio
consul,hashicorp,26300, https://github.com/hashicorp/consul
minikube,kubernetes,26200, https://github.com/kubernetes/minikube
nacos,alibaba,26000, https://github.com/alibaba/nacos
portainer,portainer,25100, https://github.com/portainer/portainer
dokku,dokku,24500, https://github.com/dokku/dokku
helm,helm,24100, https://github.com/helm/helm
faas,openfaas,22900, https://github.com/openfaas/faas
k3s,k3s-io,22700, https://github.com/k3s-io/k3s
90DaysOfDevOps,MichaelCade,22300, https://github.com/MichaelCade/90DaysOfDevOps
docker_practice,yeasy,22200, https://github.com/yeasy/docker_practice
GitHubDaily,GitHubDaily,21800, https://github.com/GitHubDaily/GitHubDaily
