Repository Name,Repository Username,Stars Received,Repository URL
jekyll,jekyll,46400, https://github.com/jekyll/jekyll
prettier,prettier,45300, https://github.com/prettier/prettier
rich,Textualize,42800, https://github.com/Textualize/rich
marktext,marktext,39300, https://github.com/marktext/marktext
marked,markedjs,29500, https://github.com/markedjs/marked
pandoc,jgm,28500, https://github.com/jgm/pandoc
docsify,docsifyjs,23100, https://github.com/docsifyjs/docsify
GitHubDaily,GitHubDaily,21800, https://github.com/GitHubDaily/GitHubDaily
logseq,logseq,21500, https://github.com/logseq/logseq
notable,notable,21500, https://github.com/notable/notable
wiki,requarks,20600, https://github.com/requarks/wiki
stackedit,benweet,20200, https://github.com/benweet/stackedit
mkdocs,mkdocs,16200, https://github.com/mkdocs/mkdocs
tui.editor,nhn,15800, https://github.com/nhn/tui.editor
github-profile-readme-generator,rahuldkjain,15300, https://github.com/rahuldkjain/github-profile-readme-generator
markdown-it,markdown-it,15200, https://github.com/markdown-it/markdown-it
mdx,mdx-js,15000, https://github.com/mdx-js/mdx
parsedown,erusev,14400, https://github.com/erusev/parsedown
grav,getgrav,13700, https://github.com/getgrav/grav
foam,foambubble,13600, https://github.com/foambubble/foam
