Repository Name,Repository Username,Stars Received,Repository URL
mastodon,mastodon,41100, https://github.com/mastodon/mastodon
elk,elk-zone,3300, https://github.com/elk-zone/elk
IceCubesApp,Dimillian,2800, https://github.com/Dimillian/IceCubesApp
Twidere-Android,TwidereProject,2700, https://github.com/TwidereProject/Twidere-Android
gotosocial,superseriousbusiness,2500, https://github.com/superseriousbusiness/gotosocial
Tusky,tuskyapp,2000, https://github.com/tuskyapp/Tusky
documentation,mastodon,1600, https://github.com/mastodon/documentation
mastodon-ios,mastodon,1600, https://github.com/mastodon/mastodon-ios
mastodon-android,mastodon,1300, https://github.com/mastodon/mastodon-android
pinafore,nolanlawson,1000, https://github.com/nolanlawson/pinafore
toot,ihabunek,936, https://github.com/ihabunek/toot
GuideToMastodon,joyeusenoelle,847, https://github.com/joyeusenoelle/GuideToMastodon
whalebird-desktop,h3poteto,817, https://github.com/h3poteto/whalebird-desktop
mastodon-twitter-poster,renatolond,798, https://github.com/renatolond/mastodon-twitter-poster
rustodon,rustodon,785, https://github.com/rustodon/rustodon
awesome-mastodon,tleb,769, https://github.com/tleb/awesome-mastodon
academics-on-mastodon,nathanlesage,749, https://github.com/nathanlesage/academics-on-mastodon
Mastodon.py,halcy,729, https://github.com/halcy/Mastodon.py
metatext,metabolist,719, https://github.com/metabolist/metatext
pingme,kha7iq,610, https://github.com/kha7iq/pingme
