Repository Name,Repository Username,Stars Received,Repository URL
flutter,flutter,152000, https://github.com/flutter/flutter
material-ui,mui,85700, https://github.com/mui/material-ui
ionic-framework,ionic-team,48900, https://github.com/ionic-team/ionic-framework
material-design-icons,google,47900, https://github.com/google/material-design-icons
awesome-flutter,Solido,46200, https://github.com/Solido/awesome-flutter
materialize,Dogfalo,38800, https://github.com/Dogfalo/materialize
vuetify,vuetifyjs,36900, https://github.com/vuetifyjs/vuetify
material-design-lite,google,32200, https://github.com/google/material-design-lite
components,angular,23400, https://github.com/angular/components
quasar,quasarframework,23200, https://github.com/quasarframework/quasar
mdb-ui-kit,mdbootstrap,23200, https://github.com/mdbootstrap/mdb-ui-kit
Hero,HeroTransitions,21300, https://github.com/HeroTransitions/Hero
material-dialogs,afollestad,19500, https://github.com/afollestad/material-dialogs
FlutterExampleApps,iampawan,18300, https://github.com/iampawan/FlutterExampleApps
framework7,framework7io,17200, https://github.com/framework7io/framework7
material-components-web,material-components,16700, https://github.com/material-components/material-components-web
material,angular,16700, https://github.com/angular/material
material-components-android,material-components,14800, https://github.com/material-components/material-components-android
design-blocks,froala,13500, https://github.com/froala/design-blocks
mkdocs-material,squidfunk,13400, https://github.com/squidfunk/mkdocs-material
