Repository Name,Repository Username,Stars Received,Repository URL
jib,GoogleContainerTools,12700, https://github.com/GoogleContainerTools/jib
javacv,bytedeco,6500, https://github.com/bytedeco/javacv
shopping-management-system,zhanglei-workspace,4500, https://github.com/zhanglei-workspace/shopping-management-system
TelegramBots,rubenlagus,3600, https://github.com/rubenlagus/TelegramBots
maven,apache,3600, https://github.com/apache/maven
spotless,diffplug,3400, https://github.com/diffplug/spotless
hope-boot,java-aodeng,3200, https://github.com/java-aodeng/hope-boot
kotlin-examples,Kotlin,3200, https://github.com/Kotlin/kotlin-examples
My-Blog,ZHENFENG13,3100, https://github.com/ZHENFENG13/My-Blog
dockerfile-maven,spotify,2700, https://github.com/spotify/dockerfile-maven
docker-maven-plugin,spotify,2600, https://github.com/spotify/docker-maven-plugin
jitpack.io,jitpack,2400, https://github.com/jitpack/jitpack.io
javacpp-presets,bytedeco,2300, https://github.com/bytedeco/javacpp-presets
maven-mvnd,apache,2300, https://github.com/apache/maven-mvnd
webdrivermanager,bonigarcia,2200, https://github.com/bonigarcia/webdrivermanager
spring-boot-quick,vector4wang,2200, https://github.com/vector4wang/spring-boot-quick
PublicCMS,sanluan,1900, https://github.com/sanluan/PublicCMS
ssm-demo,ZHENFENG13,1700, https://github.com/ZHENFENG13/ssm-demo
docker-maven-plugin,fabric8io,1700, https://github.com/fabric8io/docker-maven-plugin
kft-activiti-demo,henryyan,1600, https://github.com/henryyan/kft-activiti-demo
