Repository Name,Repository Username,Stars Received,Repository URL
mall,macrozheng,64599, https://github.com/macrozheng/mall
meteor,meteor,43400, https://github.com/meteor/meteor
interview_internal_reference,0voice,34700, https://github.com/0voice/interview_internal_reference
prisma,prisma,30400, https://github.com/prisma/prisma
spring-boot-examples,ityouknow,28800, https://github.com/ityouknow/spring-boot-examples
mongoose,Automattic,25500, https://github.com/Automattic/mongoose
mongo,mongodb,23500, https://github.com/mongodb/mongo
30-Days-Of-Python,Asabeneh,23400, https://github.com/Asabeneh/30-Days-Of-Python
parse-server,parse-community,20200, https://github.com/parse-community/parse-server
N-blog,nswbmw,15200, https://github.com/nswbmw/N-blog
NodeBB,NodeBB,13300, https://github.com/NodeBB/NodeBB
mean,linnovate,12200, https://github.com/linnovate/mean
reaction,reactioncommerce,12000, https://github.com/reactioncommerce/reaction
node-elm,bailicangdu,11900, https://github.com/bailicangdu/node-elm
mall-learning,macrozheng,11900, https://github.com/macrozheng/mall-learning
migrate,golang-migrate,11200, https://github.com/golang-migrate/migrate
Hello-Python,mouredev,11000, https://github.com/mouredev/Hello-Python
mall-swarm,macrozheng,10100, https://github.com/macrozheng/mall-swarm
payload,payloadcms,9900, https://github.com/payloadcms/payload
habitica,HabitRPG,9700, https://github.com/HabitRPG/habitica
