Repository Name,Repository Username,Stars Received,Repository URL
MvvmCross,MvvmCross,3800, https://github.com/MvvmCross/MvvmCross
MvvmCross-Samples,MvvmCross,330, https://github.com/MvvmCross/MvvmCross-Samples
NPlus1DaysOfMvvmCross,MvvmCross,150, https://github.com/MvvmCross/NPlus1DaysOfMvvmCross
Chameleon,Baseflow,147, https://github.com/Baseflow/Chameleon
MvxScaffolding,Plac3hold3r,123, https://github.com/Plac3hold3r/MvxScaffolding
Cheesebaron.MvxPlugins,Cheesebaron,89, https://github.com/Cheesebaron/Cheesebaron.MvxPlugins
Nethereum.UI.Wallet.Sample,Nethereum,75, https://github.com/Nethereum/Nethereum.UI.Wallet.Sample
MvxForms,Baseflow,46, https://github.com/Baseflow/MvxForms
SoundByteOSS,DominicMaas,44, https://github.com/DominicMaas/SoundByteOSS
xamarin-mvvvm-frameworks,rogerwcpt,44, https://github.com/rogerwcpt/xamarin-mvvvm-frameworks
XBottomSheet,grendio,35, https://github.com/grendio/XBottomSheet
MvvmCross-Dreams,mgj,31, https://github.com/mgj/MvvmCross-Dreams
XamFormsMvxTemplate,JTOne123,27, https://github.com/JTOne123/XamFormsMvxTemplate
XamSvg-Samples,softlion,25, https://github.com/softlion/XamSvg-Samples
MvvmCross-Extensions,zleao,21, https://github.com/zleao/MvvmCross-Extensions
TagsView,nmilcoff,20, https://github.com/nmilcoff/TagsView
AppRopio.Mobile,AppRopio,18, https://github.com/AppRopio/AppRopio.Mobile
MvvmCross-VisualStudioAddIn,jimbobbennett,14, https://github.com/jimbobbennett/MvvmCross-VisualStudioAddIn
JKChat,entdark,13, https://github.com/entdark/JKChat
MinoriEditorShell,TorisanKitsune,13, https://github.com/TorisanKitsune/MinoriEditorShell
