Repository Name,Repository Username,Stars Received,Repository URL
JavaGuide,Snailclimb,133000, https://github.com/Snailclimb/JavaGuide
mall,macrozheng,64599, https://github.com/macrozheng/mall
grafana,grafana,54800, https://github.com/grafana/grafana
strapi,strapi,53000, https://github.com/strapi/strapi
nocodb,nocodb,35300, https://github.com/nocodb/nocodb
interview_internal_reference,0voice,34700, https://github.com/0voice/interview_internal_reference
tidb,pingcap,33800, https://github.com/pingcap/tidb
JavaFamily,AobingJava,33500, https://github.com/AobingJava/JavaFamily
metabase,metabase,32000, https://github.com/metabase/metabase
dbeaver,dbeaver,31500, https://github.com/dbeaver/dbeaver
typeorm,typeorm,30900, https://github.com/typeorm/typeorm
prisma,prisma,30400, https://github.com/prisma/prisma
graphql-engine,hasura,29500, https://github.com/hasura/graphql-engine
sequelize,sequelize,27700, https://github.com/sequelize/sequelize
toBeTopJavaer,hollischuang,24500, https://github.com/hollischuang/toBeTopJavaer
redash,getredash,22900, https://github.com/getredash/redash
directus,directus,20900, https://github.com/directus/directus
shardingsphere,apache,18200, https://github.com/apache/shardingsphere
mysql,mysqljs,17800, https://github.com/mysqljs/mysql
matomo,matomo-org,17500, https://github.com/matomo-org/matomo
