Repository Name,Repository Username,Stars Received,Repository URL
Nim,nim-lang,14900, https://github.com/nim-lang/Nim
nitter,zedeus,7100, https://github.com/zedeus/nitter
kaitai_struct,kaitai-io,3400, https://github.com/kaitai-io/kaitai_struct
glad,Dav1dde,3000, https://github.com/Dav1dde/glad
jester,dom96,1400, https://github.com/dom96/jester
nimble,nim-lang,1100, https://github.com/nim-lang/nimble
Arraymancer,mratsim,1100, https://github.com/mratsim/Arraymancer
prologue,planety,1100, https://github.com/planety/prologue
nimx,yglukhov,973, https://github.com/yglukhov/nimx
wasm4,aduros,833, https://github.com/aduros/wasm4
nimporter,Pebaz,748, https://github.com/Pebaz/nimporter
awesome-nim,ringabout,735, https://github.com/ringabout/awesome-nim
nimforum,nim-lang,730, https://github.com/nim-lang/nimforum
worm,codic12,655, https://github.com/codic12/worm
awesome-nim,VPashkov,649, https://github.com/VPashkov/awesome-nim
NiGui,simonkrauter,630, https://github.com/simonkrauter/NiGui
nlvm,arnetheduck,607, https://github.com/arnetheduck/nlvm
choosenim,dom96,591, https://github.com/dom96/choosenim
INim,inim-repl,590, https://github.com/inim-repl/INim
nimkernel,dom96,589, https://github.com/dom96/nimkernel
