Repository Name,Repository Username,Stars Received,Repository URL
alacritty,alacritty,46000, https://github.com/alacritty/alacritty
kitty,kovidgoyal,18300, https://github.com/kovidgoyal/kitty
tinyrenderer,ssloy,16600, https://github.com/ssloy/tinyrenderer
filament,google,15600, https://github.com/google/filament
3d-game-shaders-for-beginners,lettier,14900, https://github.com/lettier/3d-game-shaders-for-beginners
bgfx,bkaradzic,12900, https://github.com/bkaradzic/bgfx
raylib,raysan5,12600, https://github.com/raysan5/raylib
openage,SFTtech,11700, https://github.com/SFTtech/openage
OpenRCT2,OpenRCT2,11600, https://github.com/OpenRCT2/OpenRCT2
glfw,glfw,10500, https://github.com/glfw/glfw
Craft,fogleman,9700, https://github.com/fogleman/Craft
openFrameworks,openframeworks,9300, https://github.com/openframeworks/openFrameworks
android-gpuimage,cats-oss,8600, https://github.com/cats-oss/android-gpuimage
SFML,SFML,8600, https://github.com/SFML/SFML
Open3D,isl-org,8400, https://github.com/isl-org/Open3D
glm,g-truc,7400, https://github.com/g-truc/glm
renderdoc,baldurk,7300, https://github.com/baldurk/renderdoc
wgpu,gfx-rs,7300, https://github.com/gfx-rs/wgpu
olive,olive-editor,6900, https://github.com/olive-editor/olive
openscad,openscad,5500, https://github.com/openscad/openscad
