Repository Name,Repository Username,Stars Received,Repository URL
bitcoin,bitcoin,69000, https://github.com/bitcoin/bitcoin
syncthing,syncthing,50500, https://github.com/syncthing/syncthing
go-ethereum,ethereum,41800, https://github.com/ethereum/go-ethereum
rustdesk,rustdesk,40400, https://github.com/rustdesk/rustdesk
webtorrent,webtorrent,27700, https://github.com/webtorrent/webtorrent
ipfs,ipfs,22000, https://github.com/ipfs/ipfs
ZeroNet,HelloZeroNet,17800, https://github.com/HelloZeroNet/ZeroNet
gun,amark,17100, https://github.com/amark/gun
PeerTube,Chocobozzz,11600, https://github.com/Chocobozzz/PeerTube
yjs,yjs,11200, https://github.com/yjs/yjs
peerjs,peers,11100, https://github.com/peers/peerjs
webrtc,pion,11000, https://github.com/pion/webrtc
webtorrent-desktop,webtorrent,9200, https://github.com/webtorrent/webtorrent-desktop
monero,monero-project,7800, https://github.com/monero-project/monero
orbit-db,orbitdb,7600, https://github.com/orbitdb/orbit-db
js-ipfs,ipfs,7400, https://github.com/ipfs/js-ipfs
lbry-sdk,lbryio,7200, https://github.com/lbryio/lbry-sdk
simple-peer,feross,6800, https://github.com/feross/simple-peer
beaker,beakerbrowser,6700, https://github.com/beakerbrowser/beaker
berty,berty,6700, https://github.com/berty/berty
