Repository Name,Repository Username,Stars Received,Repository URL
laravel,laravel,73100, https://github.com/laravel/laravel
awesome-cheatsheets,LeCoupa,33100, https://github.com/LeCoupa/awesome-cheatsheets
framework,laravel,29300, https://github.com/laravel/framework
awesome-php,ziadoz,28500, https://github.com/ziadoz/awesome-php
symfony,symfony,28200, https://github.com/symfony/symfony
composer,composer,27500, https://github.com/composer/composer
guzzle,guzzle,22500, https://github.com/guzzle/guzzle
server,nextcloud,22000, https://github.com/nextcloud/server
DesignPatternsPHP,DesignPatternsPHP,21200, https://github.com/DesignPatternsPHP/DesignPatternsPHP
monolog,Seldaek,20300, https://github.com/Seldaek/monolog
PHPMailer,PHPMailer,19400, https://github.com/PHPMailer/PHPMailer
phpunit,sebastianbergmann,19000, https://github.com/sebastianbergmann/phpunit
monica,monicahq,18900, https://github.com/monicahq/monica
CodeIgniter,bcit-ci,18200, https://github.com/bcit-ci/CodeIgniter
swoole-src,swoole,17800, https://github.com/swoole/swoole-src
hhvm,facebook,17600, https://github.com/facebook/hhvm
matomo,matomo-org,17500, https://github.com/matomo-org/matomo
PHP-Parser,nikic,16100, https://github.com/nikic/PHP-Parser
parsedown,erusev,14400, https://github.com/erusev/parsedown
antlr4,antlr,14200, https://github.com/antlr/antlr4
