Repository Name,Repository Username,Stars Received,Repository URL
pyxel,kitao,11700, https://github.com/kitao/pyxel
awesome-PICO-8,pico-8,2300, https://github.com/pico-8/awesome-PICO-8
picolove,picolove,644, https://github.com/picolove/picolove
fake-08,jtothebell,367, https://github.com/jtothebell/fake-08
picotool,dansanderson,329, https://github.com/dansanderson/picotool
scumm-8,Liquidream,295, https://github.com/Liquidream/scumm-8
retro8,Jakz,222, https://github.com/Jakz/retro8
picoDeploy,torch2424,201, https://github.com/torch2424/picoDeploy
tac08,0xcafed00d,175, https://github.com/0xcafed00d/tac08
pico8-api,wh0am1-dev,142, https://github.com/wh0am1-dev/pico8-api
PICO-8-Token-Optimizations,seleb,120, https://github.com/seleb/PICO-8-Token-Optimizations
neko8,egordorichev,103, https://github.com/egordorichev/neko8
picolove,gamax92,93, https://github.com/gamax92/picolove
P8Coder,movAX13h,90, https://github.com/movAX13h/P8Coder
Minima,Feneric,83, https://github.com/Feneric/Minima
p8-programming-fonts,juanitogan,76, https://github.com/juanitogan/p8-programming-fonts
pico8,freds72,69, https://github.com/freds72/pico8
PICO-Tween,JoebRogers,68, https://github.com/JoebRogers/PICO-Tween
yocto-8,yocto-8,68, https://github.com/yocto-8/yocto-8
jspicl,jspicl,62, https://github.com/jspicl/jspicl
