Repository Name,Repository Username,Stars Received,Repository URL
angular,angular,87400, https://github.com/angular/angular
hoppscotch,hoppscotch,50800, https://github.com/hoppscotch/hoppscotch
ionic-framework,ionic-team,48900, https://github.com/ionic-team/ionic-framework
devdocs,freeCodeCamp,31200, https://github.com/freeCodeCamp/devdocs
lighthouse,GoogleChrome,26300, https://github.com/GoogleChrome/lighthouse
quasar,quasarframework,23200, https://github.com/quasarframework/quasar
YesPlayMusic,qier222,22800, https://github.com/qier222/YesPlayMusic
snapdrop,RobinLinus,15300, https://github.com/RobinLinus/snapdrop
dashy,Lissy93,10300, https://github.com/Lissy93/dashy
vue-storefront,vuestorefront,10100, https://github.com/vuestorefront/vue-storefront
amplify-js,aws-amplify,9200, https://github.com/aws-amplify/amplify-js
capacitor,ionic-team,9100, https://github.com/ionic-team/capacitor
OnsenUI,OnsenUI,8700, https://github.com/OnsenUI/OnsenUI
rax,alibaba,7900, https://github.com/alibaba/rax
go-app,maxence-charriere,7000, https://github.com/maxence-charriere/go-app
web-skills,andreasbm,6500, https://github.com/andreasbm/web-skills
just,angus-c,5000, https://github.com/angus-c/just
awesome-learning-resources,lauragift21,4900, https://github.com/lauragift21/awesome-learning-resources
UpUp,TalAter,4900, https://github.com/TalAter/UpUp
builder,BuilderIO,4800, https://github.com/BuilderIO/builder
