Repository Name,Repository Username,Stars Received,Repository URL
CyberChef,gchq,20800, https://github.com/gchq/CyberChef
antlr4,antlr,14200, https://github.com/antlr/antlr4
pydantic,pydantic,13200, https://github.com/pydantic/pydantic
tree-sitter,tree-sitter,11400, https://github.com/tree-sitter/tree-sitter
maigret,soxoj,8300, https://github.com/soxoj/maigret
acwj,DoctorWkt,8000, https://github.com/DoctorWkt/acwj
esprima,jquery,6700, https://github.com/jquery/esprima
PhoneNumberKit,marmelroy,4800, https://github.com/marmelroy/PhoneNumberKit
node-xml2js,Leonidas-from-XIV,4700, https://github.com/Leonidas-from-XIV/node-xml2js
estree,estree,4500, https://github.com/estree/estree
ohm,ohmjs,4400, https://github.com/ohmjs/ohm
reek,troessner,3900, https://github.com/troessner/reek
pest,pest-parser,3800, https://github.com/pest-parser/pest
SBJson,SBJson,3700, https://github.com/SBJson/SBJson
LIEF,lief-project,3600, https://github.com/lief-project/LIEF
maya,timofurrer,3400, https://github.com/timofurrer/maya
nearley,kach,3400, https://github.com/kach/nearley
wuffs,google,3300, https://github.com/google/wuffs
jsmn,zserge,3200, https://github.com/zserge/jsmn
command-line-api,dotnet,3000, https://github.com/dotnet/command-line-api
