Repository Name,Repository Username,Stars Received,Repository URL
supabase,supabase,48000, https://github.com/supabase/supabase
discourse,discourse,37700, https://github.com/discourse/discourse
nocodb,nocodb,35300, https://github.com/nocodb/nocodb
metabase,metabase,32000, https://github.com/metabase/metabase
dbeaver,dbeaver,31500, https://github.com/dbeaver/dbeaver
typeorm,typeorm,30900, https://github.com/typeorm/typeorm
prisma,prisma,30400, https://github.com/prisma/prisma
sequelize,sequelize,27700, https://github.com/sequelize/sequelize
redash,getredash,22900, https://github.com/getredash/redash
directus,directus,20900, https://github.com/directus/directus
postgrest,PostgREST,20300, https://github.com/PostgREST/postgrest
shardingsphere,apache,18200, https://github.com/apache/shardingsphere
cal.com,calcom,17700, https://github.com/calcom/cal.com
knex,knex,17400, https://github.com/knex/knex
mindsdb,mindsdb,15300, https://github.com/mindsdb/mindsdb
APIJSON,Tencent,15100, https://github.com/Tencent/APIJSON
cube,cube-js,14900, https://github.com/cube-js/cube
timescaledb,timescale,14800, https://github.com/timescale/timescaledb
analytics,plausible,14400, https://github.com/plausible/analytics
mybatis-plus,baomidou,14300, https://github.com/baomidou/mybatis-plus
