Repository Name,Repository Username,Stars Received,Repository URL
Ghost,TryGhost,42900, https://github.com/TryGhost/Ghost
lerna,lerna,34400, https://github.com/lerna/lerna
pandoc,jgm,28500, https://github.com/jgm/pandoc
papermill,nteract,5200, https://github.com/nteract/papermill
tailwind-nextjs-starter-blog,timlrx,4500, https://github.com/timlrx/tailwind-nextjs-starter-blog
gradle-play-publisher,Triple-T,3900, https://github.com/Triple-T/gradle-play-publisher
writefreely,writefreely,3500, https://github.com/writefreely/writefreely
canvas,austintoddj,3100, https://github.com/austintoddj/canvas
wink,themsaid,2700, https://github.com/themsaid/wink
substance,substance,2700, https://github.com/substance/substance
Casper,TryGhost,2400, https://github.com/TryGhost/Casper
auto,intuit,2000, https://github.com/intuit/auto
sile,sile-typesetter,1500, https://github.com/sile-typesetter/sile
epubcheck,w3c,1300, https://github.com/w3c/epubcheck
joss,openjournals,1200, https://github.com/openjournals/joss
texture,substance,993, https://github.com/substance/texture
gradle-maven-publish-plugin,vanniktech,907, https://github.com/vanniktech/gradle-maven-publish-plugin
easybook,javiereguiluz,754, https://github.com/javiereguiluz/easybook
Publish-Docker-Github-Action,elgohr,744, https://github.com/elgohr/Publish-Docker-Github-Action
notebooker,man-group,726, https://github.com/man-group/notebooker
