Repository Name,Repository Username,Stars Received,Repository URL
ML-For-Beginners,microsoft,47400, https://github.com/microsoft/ML-For-Beginners
spark,apache,35400, https://github.com/apache/spark
dash,plotly,18500, https://github.com/plotly/dash
graal,oracle,18400, https://github.com/oracle/graal
prophet,facebook,15700, https://github.com/facebook/prophet
LightGBM,microsoft,14800, https://github.com/microsoft/LightGBM
ds-cheatsheets,FavioVazquez,12100, https://github.com/FavioVazquez/ds-cheatsheets
mal,kanaka,9200, https://github.com/kanaka/mal
wowchemy-hugo-themes,wowchemy,7100, https://github.com/wowchemy/wowchemy-hugo-themes
catboost,catboost,7100, https://github.com/catboost/catboost
metaflow,Netflix,6600, https://github.com/Netflix/metaflow
h2o-3,h2oai,6200, https://github.com/h2oai/h2o-3
ggplot2,tidyverse,5900, https://github.com/tidyverse/ggplot2
awesome-R,qinwf,5400, https://github.com/qinwf/awesome-R
papermill,nteract,5200, https://github.com/nteract/papermill
shiny,rstudio,5000, https://github.com/rstudio/shiny
dplyr,tidyverse,4400, https://github.com/tidyverse/dplyr
r4ds,hadley,3900, https://github.com/hadley/r4ds
data-science-at-the-command-line,jeroenjanssens,3500, https://github.com/jeroenjanssens/data-science-at-the-command-line
wave,h2oai,3500, https://github.com/h2oai/wave
