Repository Name,Repository Username,Stars Received,Repository URL
core,home-assistant,59500, https://github.com/home-assistant/core
pi-hole,pi-hole,41800, https://github.com/pi-hole/pi-hole
MagicMirror,MichMich,17600, https://github.com/MichMich/MagicMirror
nnn,jarun,16100, https://github.com/jarun/nnn
johnny-five,rwaldron,13000, https://github.com/rwaldron/johnny-five
raylib,raysan5,12600, https://github.com/raysan5/raylib
IoT-For-Beginners,microsoft,12200, https://github.com/microsoft/IoT-For-Beginners
raspberry-pi-os,s-matyukevich,12100, https://github.com/s-matyukevich/raspberry-pi-os
awesome-raspberry-pi,thibmaek,11200, https://github.com/thibmaek/awesome-raspberry-pi
rust-raspberrypi-OS-tutorials,rust-embedded,10800, https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
qt,therecipe,9700, https://github.com/therecipe/qt
RetroPie-Setup,RetroPie,9700, https://github.com/RetroPie/RetroPie-Setup
openFrameworks,openframeworks,9300, https://github.com/openframeworks/openFrameworks
fprime,nasa,9300, https://github.com/nasa/fprime
gobot,hybridgroup,8200, https://github.com/hybridgroup/gobot
OctoPrint,OctoPrint,7300, https://github.com/OctoPrint/OctoPrint
navidrome,navidrome,6400, https://github.com/navidrome/navidrome
mycroft-core,MycroftAI,6200, https://github.com/MycroftAI/mycroft-core
pivpn,pivpn,6000, https://github.com/pivpn/pivpn
pikvm,pikvm,5900, https://github.com/pikvm/pikvm
