Repository Name,Repository Username,Stars Received,Repository URL
bootstrap,twbs,163000, https://github.com/twbs/bootstrap
vue2-elm,bailicangdu,39900, https://github.com/bailicangdu/vue2-elm
tabler,tabler,33700, https://github.com/tabler/tabler
Hover,IanLunn,28300, https://github.com/IanLunn/Hover
ngx-admin,akveo,24400, https://github.com/akveo/ngx-admin
blueprint,palantir,19700, https://github.com/palantir/blueprint
chatwoot,chatwoot,14900, https://github.com/chatwoot/chatwoot
css,primer,12000, https://github.com/primer/css
bourbon,thoughtbot,9100, https://github.com/thoughtbot/bourbon
nebular,akveo,7800, https://github.com/akveo/nebular
madge,pahen,7200, https://github.com/pahen/madge
hamburgers,jonsuh,6900, https://github.com/jonsuh/hamburgers
css-blocks,linkedin,6300, https://github.com/linkedin/css-blocks
generator-angular-fullstack,angular-fullstack,6100, https://github.com/angular-fullstack/generator-angular-fullstack
eui,elastic,5700, https://github.com/elastic/eui
angular-electron,maximegris,5400, https://github.com/maximegris/angular-electron
balloon.css,kazzkiq,5000, https://github.com/kazzkiq/balloon.css
csshake,elrumordelaluz,4800, https://github.com/elrumordelaluz/csshake
neat,thoughtbot,4500, https://github.com/thoughtbot/neat
devportfolio,RyanFitzgerald,4000, https://github.com/RyanFitzgerald/devportfolio
