Repository Name,Repository Username,Stars Received,Repository URL
ohmyzsh,ohmyzsh,157000, https://github.com/ohmyzsh/ohmyzsh
thefuck,nvbn,76700, https://github.com/nvbn/thefuck
nvm,nvm-sh,66100, https://github.com/nvm-sh/nvm
git,git,45900, https://github.com/git/git
tldr,tldr-pages,43800, https://github.com/tldr-pages/tldr
nerd-fonts,ryanoasis,42800, https://github.com/ryanoasis/nerd-fonts
pi-hole,pi-hole,41800, https://github.com/pi-hole/pi-hole
PowerShell,PowerShell,37800, https://github.com/PowerShell/PowerShell
zx,google,37000, https://github.com/google/zx
edex-ui,GitSquared,36800, https://github.com/GitSquared/edex-ui
pure-bash-bible,dylanaraps,33200, https://github.com/dylanaraps/pure-bash-bible
shellcheck,koalaman,31800, https://github.com/koalaman/shellcheck
pyenv,pyenv,31400, https://github.com/pyenv/pyenv
acme.sh,acmesh-official,31000, https://github.com/acmesh-official/acme.sh
awesome-macos-command-line,herrbischoff,27300, https://github.com/herrbischoff/awesome-macos-command-line
awesome-shell,alebcay,27100, https://github.com/alebcay/awesome-shell
modern-unix,ibraheemdev,26400, https://github.com/ibraheemdev/modern-unix
zsh-autosuggestions,zsh-users,25700, https://github.com/zsh-users/zsh-autosuggestions
cmder,cmderdev,24700, https://github.com/cmderdev/cmder
nushell,nushell,24100, https://github.com/nushell/nushell
