Repository Name,Repository Username,Stars Received,Repository URL
react-sketchapp,airbnb,15000, https://github.com/airbnb/react-sketchapp
awesome-design,gztchan,14500, https://github.com/gztchan/awesome-design
tldraw,tldraw,13000, https://github.com/tldraw/tldraw
react-color,casesandberg,11300, https://github.com/casesandberg/react-color
themer,themerdev,5100, https://github.com/themerdev/themer
plugin-directory,sketchplugins,3400, https://github.com/sketchplugins/plugin-directory
weui-design,weui,2800, https://github.com/weui/weui-design
Miaow,weixin,2500, https://github.com/weixin/Miaow
git-sketch-plugin,mathieudutour,2500, https://github.com/mathieudutour/git-sketch-plugin
Fluid-for-Sketch,matt-curtis,2400, https://github.com/matt-curtis/Fluid-for-Sketch
sketch-palettes,andrewfiorillo,2300, https://github.com/andrewfiorillo/sketch-palettes
paddy-sketch-plugin,DWilliames,2200, https://github.com/DWilliames/paddy-sketch-plugin
svgo,ajstarks,2000, https://github.com/ajstarks/svgo
sketch-iconfont,keremciu,2000, https://github.com/keremciu/sketch-iconfont
html-sketchapp,html-sketchapp,1800, https://github.com/html-sketchapp/html-sketchapp
Anime2Sketch,Mukosame,1700, https://github.com/Mukosame/Anime2Sketch
data-populator,dataliterate,1700, https://github.com/dataliterate/data-populator
kactus,kactus-io,1500, https://github.com/kactus-io/kactus
sketch,vydd,1300, https://github.com/vydd/sketch
carbon-design-kit,carbon-design-system,1000, https://github.com/carbon-design-system/carbon-design-kit
