Repository Name,Repository Username,Stars Received,Repository URL
spring-boot,spring-projects,66500, https://github.com/spring-projects/spring-boot
mall,macrozheng,64599, https://github.com/macrozheng/mall
jeecg-boot,jeecgboot,34200, https://github.com/jeecgboot/jeecg-boot
spring-boot-demo,xkcoding,29200, https://github.com/xkcoding/spring-boot-demo
spring-boot-examples,ityouknow,28800, https://github.com/ityouknow/spring-boot-examples
apollo,apolloconfig,27900, https://github.com/apolloconfig/apollo
SpringAll,wuyouzhuguli,25300, https://github.com/wuyouzhuguli/SpringAll
generator-jhipster,jhipster,20500, https://github.com/jhipster/generator-jhipster
eladmin,elunez,19600, https://github.com/elunez/eladmin
litemall,linlinjava,17900, https://github.com/linlinjava/litemall
SpringCloudLearning,forezp,17200, https://github.com/forezp/SpringCloudLearning
SpringBoot-Labs,yudaocode,16500, https://github.com/yudaocode/SpringBoot-Labs
SpringBoot-Learning,dyc87112,15100, https://github.com/dyc87112/SpringBoot-Learning
vue-admin-better,chuzhixin,14000, https://github.com/chuzhixin/vue-admin-better
piggymetrics,sqshq,12300, https://github.com/sqshq/piggymetrics
spring-boot-admin,codecentric,11600, https://github.com/codecentric/spring-boot-admin
cas,apereo,10100, https://github.com/apereo/cas
newbee-mall,newbee-ltd,9900, https://github.com/newbee-ltd/newbee-mall
spring-boot-api-project-seed,lihengming,9300, https://github.com/lihengming/spring-boot-api-project-seed
conductor,Netflix,8500, https://github.com/Netflix/conductor
