Repository Name,Repository Username,Stars Received,Repository URL
symfony,symfony,28200, https://github.com/symfony/symfony
grav,getgrav,13700, https://github.com/getgrav/grav
console,symfony,9400, https://github.com/symfony/console
http-foundation,symfony,8400, https://github.com/symfony/http-foundation
event-dispatcher,symfony,8300, https://github.com/symfony/event-dispatcher
finder,symfony,8200, https://github.com/symfony/finder
wallabag,wallabag,8100, https://github.com/wallabag/wallabag
http-kernel,symfony,7900, https://github.com/symfony/http-kernel
api-platform,api-platform,7900, https://github.com/api-platform/api-platform
polyfill-mbstring,symfony,7600, https://github.com/symfony/polyfill-mbstring
routing,symfony,7400, https://github.com/symfony/routing
debug,symfony,7300, https://github.com/symfony/debug
Sylius,Sylius,7300, https://github.com/Sylius/Sylius
css-selector,symfony,7200, https://github.com/symfony/css-selector
process,symfony,7200, https://github.com/symfony/process
var-dumper,symfony,7200, https://github.com/symfony/var-dumper
php-pm,php-pm,6500, https://github.com/php-pm/php-pm
translation,symfony,6500, https://github.com/symfony/translation
pagekit,pagekit,5500, https://github.com/pagekit/pagekit
DoctrineBundle,doctrine,4500, https://github.com/doctrine/DoctrineBundle
