Repository Name,Repository Username,Stars Received,Repository URL
huginn,huginn,38100, https://github.com/huginn/huginn
Clone-Wars,GorvGoyl,24000, https://github.com/GorvGoyl/Clone-Wars
RSSHub,DIYgod,23900, https://github.com/DIYgod/RSSHub
twint,twintproject,14800, https://github.com/twintproject/twint
Pake,tw93,13200, https://github.com/tw93/Pake
Hitomi-Downloader,KurtBestor,12200, https://github.com/KurtBestor/Hitomi-Downloader
tweepy,tweepy,9600, https://github.com/tweepy/tweepy
UltimateAndroidReference,aritraroy,7700, https://github.com/aritraroy/UltimateAndroidReference
gallery-dl,mikf,7100, https://github.com/mikf/gallery-dl
nitter,zedeus,7100, https://github.com/zedeus/nitter
trump2cash,maxbbraun,6200, https://github.com/maxbbraun/trump2cash
holehe,megadose,4500, https://github.com/megadose/holehe
ActiveLabel.swift,optonaut,4300, https://github.com/optonaut/ActiveLabel.swift
twitteroauth,abraham,4200, https://github.com/abraham/twitteroauth
alternative-front-ends,mendel5,3900, https://github.com/mendel5/alternative-front-ends
rainbowstream,orakaro,3500, https://github.com/orakaro/rainbowstream
twitter-scraper,bisguzar,3500, https://github.com/bisguzar/twitter-scraper
rrssb,kni-labs,3400, https://github.com/kni-labs/rrssb
timeliner,mholt,3400, https://github.com/mholt/timeliner
ripme,RipMeApp,3400, https://github.com/RipMeApp/ripme
