Repository Name,Repository Username,Stars Received,Repository URL
openvpn-install,Nyr,16900, https://github.com/Nyr/openvpn-install
openvpn-install,angristan,9800, https://github.com/angristan/openvpn-install
Stacer,oguzhaninan,8300, https://github.com/oguzhaninan/Stacer
crouton,dnschneid,8300, https://github.com/dnschneid/crouton
Linux-Tutorial,judasn,8000, https://github.com/judasn/Linux-Tutorial
deepin-wine-ubuntu,wszqkzqk,6000, https://github.com/wszqkzqk/deepin-wine-ubuntu
Publii,GetPublii,5400, https://github.com/GetPublii/Publii
rofi,adi1090x,5000, https://github.com/adi1090x/rofi
polybar-themes,adi1090x,4900, https://github.com/adi1090x/polybar-themes
howdy,boltgolt,4600, https://github.com/boltgolt/howdy
distrobox,89luca89,4300, https://github.com/89luca89/distrobox
bento,chef,4000, https://github.com/chef/bento
gopeed,GopeedLab,4000, https://github.com/GopeedLab/gopeed
photoshopCClinux,Gictorbit,3800, https://github.com/Gictorbit/photoshopCClinux
Flatabulous,anmoljagetia,3700, https://github.com/anmoljagetia/Flatabulous
hstr,dvorka,3500, https://github.com/dvorka/hstr
Clipboard,Slackadays,3200, https://github.com/Slackadays/Clipboard
btfs,johang,3100, https://github.com/johang/btfs
wireguard-install,Nyr,2800, https://github.com/Nyr/wireguard-install
build,armbian,2800, https://github.com/armbian/build
