Repository Name,Repository Username,Stars Received,Repository URL
ILSpy,icsharpcode,17500, https://github.com/icsharpcode/ILSpy
3d-game-shaders-for-beginners,lettier,14900, https://github.com/lettier/3d-game-shaders-for-beginners
ml-agents,Unity-Technologies,14400, https://github.com/Unity-Technologies/ml-agents
AssetStudio,Perfare,10600, https://github.com/Perfare/AssetStudio
xLua,Tencent,8300, https://github.com/Tencent/xLua
ET,egametang,6900, https://github.com/egametang/ET
jynew,jynew,6600, https://github.com/jynew/jynew
UniRx,neuecc,6400, https://github.com/neuecc/UniRx
Entitas,sschmid,6200, https://github.com/sschmid/Entitas
MixedRealityToolkit-Unity,microsoft,5700, https://github.com/microsoft/MixedRealityToolkit-Unity
awesome-unity,RyanNielson,5700, https://github.com/RyanNielson/awesome-unity
GameNetworkingResources,ThusSpokeNomad,5500, https://github.com/ThusSpokeNomad/GameNetworkingResources
open-project-1,UnityTechnologies,5200, https://github.com/UnityTechnologies/open-project-1
UniTask,Cysharp,5200, https://github.com/Cysharp/UniTask
Il2CppDumper,Perfare,5100, https://github.com/Perfare/Il2CppDumper
UnityURPToonLitShaderExample,ColinLeung-NiloCat,4700, https://github.com/ColinLeung-NiloCat/UnityURPToonLitShaderExample
Unity-Script-Collection,michidk,4600, https://github.com/michidk/Unity-Script-Collection
MessagePack-CSharp,neuecc,4600, https://github.com/neuecc/MessagePack-CSharp
GameFramework,EllanJiang,4500, https://github.com/EllanJiang/GameFramework
UIEffect,mob-sakai,4500, https://github.com/mob-sakai/UIEffect
