Repository Name,Repository Username,Stars Received,Repository URL
AirSim,microsoft,14200, https://github.com/microsoft/AirSim
nakama,heroiclabs,7000, https://github.com/heroiclabs/nakama
GameNetworkingResources,ThusSpokeNomad,5500, https://github.com/ThusSpokeNomad/GameNetworkingResources
ue5-style-guide,Allar,3900, https://github.com/Allar/ue5-style-guide
UnrealCLR,nxrighthere,2600, https://github.com/nxrighthere/UnrealCLR
ActionRoguelike,tomlooman,2400, https://github.com/tomlooman/ActionRoguelike
GameDevMind,gonglei007,2100, https://github.com/gonglei007/GameDevMind
simulator,lgsvl,2000, https://github.com/lgsvl/simulator
UEViewer,gildor2,1900, https://github.com/gildor2/UEViewer
ALS-Community,dyanikoglu,1600, https://github.com/dyanikoglu/ALS-Community
sluaunreal,Tencent,1500, https://github.com/Tencent/sluaunreal
Blender-For-UnrealEngine-Addons,xavier150,1500, https://github.com/xavier150/Blender-For-UnrealEngine-Addons
OpenGraphic,Gforcex,1400, https://github.com/Gforcex/OpenGraphic
VoxelPlugin,Phyronnaz,1400, https://github.com/Phyronnaz/VoxelPlugin
RealtimeMeshComponent,TriAxis-Games,1300, https://github.com/TriAxis-Games/RealtimeMeshComponent
zfoo,zfoo-project,1200, https://github.com/zfoo-project/zfoo
TensorFlow-Unreal,getnamo,1100, https://github.com/getnamo/TensorFlow-Unreal
HoudiniEngineForUnreal,sideeffects,1000, https://github.com/sideeffects/HoudiniEngineForUnreal
DungeonTemplateLibrary,AsPJT,993, https://github.com/AsPJT/DungeonTemplateLibrary
unrealcpp,Harrison1,982, https://github.com/Harrison1/unrealcpp
