Repository Name,Repository Username,Stars Received,Repository URL
neovim,neovim,64599, https://github.com/neovim/neovim
fzf,junegunn,51500, https://github.com/junegunn/fzf
awesome-cheatsheets,LeCoupa,33100, https://github.com/LeCoupa/awesome-cheatsheets
vim-plug,junegunn,30900, https://github.com/junegunn/vim-plug
vim,vim,30000, https://github.com/vim/vim
YouCompleteMe,ycm-core,24700, https://github.com/ycm-core/YouCompleteMe
spacemacs,syl20bnr,22900, https://github.com/syl20bnr/spacemacs
coc.nvim,neoclide,22600, https://github.com/neoclide/coc.nvim
helix,helix-editor,21000, https://github.com/helix-editor/helix
SpaceVim,SpaceVim,19800, https://github.com/SpaceVim/SpaceVim
nerdtree,preservim,18400, https://github.com/preservim/nerdtree
vim-airline,vim-airline,17200, https://github.com/vim-airline/vim-airline
doomemacs,doomemacs,16400, https://github.com/doomemacs/doomemacs
nnn,jarun,16100, https://github.com/jarun/nnn
NvChad,NvChad,15900, https://github.com/NvChad/NvChad
vim-go,fatih,15400, https://github.com/fatih/vim-go
vim-galore,mhinz,15300, https://github.com/mhinz/vim-galore
LunarVim,LunarVim,13900, https://github.com/LunarVim/LunarVim
powerline,powerline,13800, https://github.com/powerline/powerline
ranger,ranger,13100, https://github.com/ranger/ranger
