Repository Name,Repository Username,Stars Received,Repository URL
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
polymer,Polymer,21900, https://github.com/Polymer/polymer
omi,Tencent,12500, https://github.com/Tencent/omi
wired-elements,rough-stuff,9300, https://github.com/rough-stuff/wired-elements
fast,microsoft,8200, https://github.com/microsoft/fast
clarity,vmware-archive,6500, https://github.com/vmware-archive/clarity
web-skills,andreasbm,6500, https://github.com/andreasbm/web-skills
skatejs,skatejs,3300, https://github.com/skatejs/skatejs
relative-time-element,github,2700, https://github.com/github/relative-time-element
lulu,yued-fe,2600, https://github.com/yued-fe/lulu
open-ui,openui,2500, https://github.com/openui/open-ui
github-elements,github,2500, https://github.com/github/github-elements
haunted,matthewp,2500, https://github.com/matthewp/haunted
vime,vime-js,2500, https://github.com/vime-js/vime
awesome-web-components,web-padawan,2200, https://github.com/web-padawan/awesome-web-components
open-wc,open-wc,2000, https://github.com/open-wc/open-wc
vue-custom-element,karol-f,1900, https://github.com/karol-f/vue-custom-element
happy-dom,capricorn86,1800, https://github.com/capricorn86/happy-dom
quark-design,hellof2e,1500, https://github.com/hellof2e/quark-design
lion,ing-bank,1500, https://github.com/ing-bank/lion
