Repository Name,Repository Username,Stars Received,Repository URL
flutter,flutter,152000, https://github.com/flutter/flutter
the-art-of-command-line,jlevy,135000, https://github.com/jlevy/the-art-of-command-line
node,nodejs,94500, https://github.com/nodejs/node
PowerToys,microsoft,89300, https://github.com/microsoft/PowerToys
atom,atom,59300, https://github.com/atom/atom
Ventoy,ventoy,47700, https://github.com/ventoy/Ventoy
alacritty,alacritty,46000, https://github.com/alacritty/alacritty
v2rayN,2dust,40800, https://github.com/2dust/v2rayN
x64dbg,x64dbg,40300, https://github.com/x64dbg/x64dbg
mkcert,FiloSottile,40300, https://github.com/FiloSottile/mkcert
sherlock,sherlock-project,40200, https://github.com/sherlock-project/sherlock
marktext,marktext,39300, https://github.com/marktext/marktext
PowerShell,PowerShell,37800, https://github.com/PowerShell/PowerShell
edex-ui,GitSquared,36800, https://github.com/GitSquared/edex-ui
Motrix,agalwood,36600, https://github.com/agalwood/Motrix
nativefier,nativefier,33300, https://github.com/nativefier/nativefier
Microsoft-Activation-Scripts,massgravel,30700, https://github.com/massgravel/Microsoft-Activation-Scripts
ChatGPT,lencx,30700, https://github.com/lencx/ChatGPT
nvm-windows,coreybutler,27200, https://github.com/coreybutler/nvm-windows
Files,files-community,27200, https://github.com/files-community/Files
