Repository Name,Repository Username,Stars Received,Repository URL
jquery,jquery,57300, https://github.com/jquery/jquery
fullPage.js,alvarotrigo,34500, https://github.com/alvarotrigo/fullPage.js
taro,NervJS,32700, https://github.com/NervJS/taro
cheerio,cheeriojs,26200, https://github.com/cheeriojs/cheerio
select2,select2,25600, https://github.com/select2/select2
tui.editor,nhn,15800, https://github.com/nhn/tui.editor
selectize.js,selectize,12900, https://github.com/selectize/selectize.js
editor.md,pandao,12900, https://github.com/pandao/editor.md
goquery,PuerkitoBio,12500, https://github.com/PuerkitoBio/goquery
card,jessepollak,11500, https://github.com/jessepollak/card
jquery-ui,jquery,11100, https://github.com/jquery/jquery-ui
jquery-validation,jquery-validation,10300, https://github.com/jquery-validation/jquery-validation
bootstrap-select,snapappointments,9700, https://github.com/snapappointments/bootstrap-select
cropper,fengyuanchen,7800, https://github.com/fengyuanchen/cropper
fancybox,fancyapps,7300, https://github.com/fancyapps/fancybox
Metro-UI-CSS,olton,7000, https://github.com/olton/Metro-UI-CSS
must-watch-javascript,AllThingsSmitty,6900, https://github.com/AllThingsSmitty/must-watch-javascript
node-crawler,bda-research,6400, https://github.com/bda-research/node-crawler
cash,fabiospampinato,6100, https://github.com/fabiospampinato/cash
VvvebJs,givanz,5500, https://github.com/givanz/VvvebJs
