Repository Name,Repository Username,Stars Received,Repository URL
server,bitwarden,12300, https://github.com/bitwarden/server
AspNetCore.Docs,dotnet,11500, https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,11000, https://github.com/aspnetboilerplate/aspnetboilerplate
abp,abpframework,9700, https://github.com/abpframework/abp
nopCommerce,nopSolutions,8000, https://github.com/nopSolutions/nopCommerce
Electron.NET,ElectronNET,6700, https://github.com/ElectronNET/Electron.NET
clean-code-dotnet,thangchung,6000, https://github.com/thangchung/clean-code-dotnet
NSwag,RicoSuter,5800, https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,2700, https://github.com/FastEndpoints/FastEndpoints
aspnet-api-versioning,dotnet,2700, https://github.com/dotnet/aspnet-api-versioning
SmartStoreNET,smartstore,2600, https://github.com/smartstore/SmartStoreNET
ImageProcessor,JimBobSquarePants,2500, https://github.com/JimBobSquarePants/ImageProcessor
Serenity,serenity-is,2300, https://github.com/serenity-is/Serenity
BaGet,loic-sharma,2300, https://github.com/loic-sharma/BaGet
Awesome-Microservices-DotNet,mjebrahimi,2200, https://github.com/mjebrahimi/Awesome-Microservices-DotNet
aspnetcore-angular-universal,TrilonIO,1500, https://github.com/TrilonIO/aspnetcore-angular-universal
aspnetcore-Vue-starter,TrilonIO,1200, https://github.com/TrilonIO/aspnetcore-Vue-starter
csla,MarimerLLC,1100, https://github.com/MarimerLLC/csla
SharPyShell,antonioCoco,768, https://github.com/antonioCoco/SharPyShell
dotvvm,riganti,674, https://github.com/riganti/dotvvm
